id,sentence,modal_text,modal_lemma,negated,ought_to,POSSIBILITY,NECESSITY,TSU,NEGATION,has_separator,modal_relevant_ops,sbn
p09/d2150,"According to the paper, it will snow tomorrow.",will,will,,,,,Y,,Y,CONTINUATION;TSU,according.a.02 Proposition >1 Source +1 paper.n.03 CONTINUATION <0 entity.n.01 time.n.08 TSU now snow.v.01 EQU -2 Time -1 Time +1 time.n.08 TIN +2 day.n.03 TCT now TAB +1 day.n.03
p32/d0944,He can speak French.,can,can,,,Y,,,,,POSSIBILITY,male.n.02 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 french.n.01
p79/d3436,The maid will take it to your house.,will,will,,,,,Y,,,TSU,person.n.01 Role +1 maid.n.01 time.n.08 TSU now take.v.07 Agent -3 Time -1 Theme +1 Destination +3 entity.n.01 person.n.01 EQU hearer house.n.01 User -1
p27/d1965,I like this song; it's got a strong beat and you can dance to it.,can,can,,,Y,,,,Y,CONTINUATION;POSSIBILITY,person.n.01 EQU speaker like.v.02 Experiencer -1 Time +1 Stimulus +2 time.n.08 EQU now song.n.01 CONTINUATION <1 entity.n.01 ANA -1 have_got.v.01 Theme -1 Time +1 Pivot +3 time.n.08 EQU now strong.a.01 AttributeOf +1 beat.n.03 CONTINUATION <1 person.n.01 POSSIBILITY <1 dance.v.02 Agent -1 Theme +1 entity.n.01 ANA -8
p62/d1806,None of the teachers could solve the problem.,could,could,,,Y,,,Y,,NEGATION;POSSIBILITY,NEGATION <1 entity.n.01 SubOf +1 person.n.01 Role +1 teacher.n.01 POSSIBILITY <1 solve.v.01 Agent -3 Theme +1 problem.n.02
p92/d3501,The ship will arrive by five o'clock.,will,will,,,,,Y,,,TSU,ship.n.01 time.n.08 TSU now arrive.v.01 Theme -2 Time -1 Time +1 time.n.08 ClockTime 17:00
p84/d2360,"Thursday, we will go to a swimming pool.",will,will,,,,,Y,,,TSU,time.n.08 DayOfWeek thursday person.n.01 Sub speaker time.n.08 TSU now go.v.01 Time -3 Theme -2 Time -1 Destination +1 swimming_pool.n.01
p07/d1990,The dog will bark.,will,will,,,,,Y,,,TSU,dog.n.01 time.n.08 TSU now bark.v.04 Agent -2 Time -1
p03/d3552,It will be scary.,will,will,,,,,Y,,,TSU,entity.n.01 time.n.08 TSU now scary.a.01 AttributeOf -2 Time -1
p22/d3154,The back seat of the car will hold three passengers.,will,will,,,,,Y,,,TSU,backseat.n.02 PartOf +1 car.n.01 time.n.08 TSU now hold.v.12 Location -3 Time -1 Time +1 Value +3 time.n.08 EQU now quantity.n.01 EQU 3 person.n.01 Quantity -1 Role +1 passenger.n.01
p78/d2388,Tom will be all right.,will,will,,,,,Y,,,TSU,"male.n.02 Name ""Tom"" time.n.08 TSU now all_right.a.01 AttributeOf -2 Time -1"
p50/d1584,This stone was so heavy that I could not lift it.,could,could,neg,,Y,,,Y,Y,NEGATION;POSSIBILITY;RESULT,stone.n.01 time.n.08 TPR now heavy.a.01 Time -1 Value + AttributeOf -2 RESULT <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 lift.v.01 Agent -1 Theme +1 entity.n.01 ANA -5
p41/d0920,"If it rains, he won't come.",wo,will,neg,,,,Y,Y,Y,CONSEQUENCE;NEGATION;TSU,entity.n.01 rain.v.01 EQU -1 Time +1 time.n.08 EQU now CONSEQUENCE <1 male.n.02 NEGATION <1 time.n.08 TSU now come.v.02 Theme -2 Time -1
p05/d1609,We will be back at half past three.,will,will,,,,,Y,,,TSU,person.n.01 Sub speaker time.n.08 TSU now back.r.01 Theme -2 Time -1 Time +1 time.n.08 ClockTime 15:30
p37/d2257,She'll rip my head off.,'ll,will,,,,,Y,,,TSU,female.n.02 time.n.08 TSU now tear_off.v.01 Agent -2 Time -1 Patient +2 person.n.01 EQU speaker head.n.01 PartOf -1
p00/d3349,You can buy stamps at any post office.,can,can,,,Y,,,Y,Y,CONJUNCTION;NEGATION;POSSIBILITY,NEGATION <1 person.n.01 NEGATION <1 POSSIBILITY <1 NEGATION <1 NEGATION <1 buy.v.01 Agent -1 Theme +1 Location +1 stamp.n.04 CONJUNCTION <2 post_office.n.01
p12/d0799,Can we roller-skate in this park?,Can,can,,,Y,,,,,POSSIBILITY,POSSIBILITY <1 person.n.01 Sub speaker roller_skate.v.01 Theme -1 Location +1 park.n.02
p05/d3330,I can sing it in English.,can,can,,,Y,,,,,POSSIBILITY,person.n.01 EQU speaker POSSIBILITY <1 sing.v.01 Agent -1 Theme +1 Context +2 entity.n.01 english.n.01
p67/d2470,Tuesday we will go to the clubhouse.,will,will,,,,,Y,,,TSU,time.n.08 DayOfWeek tuesday person.n.01 Sub speaker time.n.08 TSU now go.v.01 Time -3 Theme -2 Time -1 Destination +1 clubhouse.n.01
p66/d3040,Who will console him?,will,will,,,,,Y,,,TSU,person.n.01 Name ? time.n.08 TSU now console.v.01 Stimulus -2 Time -1 Experiencer +1 male.n.02
p94/d2931,"Even though we tried hard, we couldn't beat Jane.",could,could,neg,,Y,,,Y,Y,CONTRAST;NEGATION;POSSIBILITY,"person.n.01 Sub speaker try.v.01 Agent -1 Time +1 Manner +2 time.n.08 TPR now hard.r.01 CONTRAST <1 person.n.01 Sub speaker NEGATION <1 POSSIBILITY <1 beat.v.01 Agent -1 Co-Agent +1 female.n.02 Name ""Jane"""
p02/d2133,Tom won't speak to anybody.,wo,will,neg,,,,Y,Y,,NEGATION;TSU,"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 TSU now speak.v.01 Agent -2 Time -1 Co-Agent +1 person.n.01"
p93/d0115,"If I had money, I'd buy this computer.",'d,would,,,,,Y,,Y,CONSEQUENCE;TSU,person.n.01 EQU speaker have.v.01 Pivot -1 Time +1 Theme +2 time.n.08 TPR now money.n.01 CONSEQUENCE <1 person.n.01 EQU speaker time.n.08 TSU now buy.v.01 Agent -2 Time -1 Theme +1 computer.n.01
p15/d2529,May I open a can?,May,may,,,Y,,,,,POSSIBILITY,POSSIBILITY <1 person.n.01 EQU speaker open.v.01 Agent -1 Patient +1 can.n.01
p71/d2966,"If you are hungry, you can eat the bread.",can,can,,,Y,,,,Y,CONSEQUENCE;POSSIBILITY,person.n.01 EQU hearer time.n.08 EQU now hungry.a.01 Experiencer -2 Time -1 CONSEQUENCE <1 person.n.01 EQU hearer POSSIBILITY <1 eat.v.01 Agent -1 Patient +1 bread.n.01
p24/d3377,I'll eat fish.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now eat.v.01 Agent -2 Time -1 Patient +1 fish.n.02
p65/d2527,I will start working on July first.,will,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now start.v.02 Time -1 PartOf +1 Time +2 work.v.02 Agent -3 time.n.08 MonthOfYear 7 time.n.08 DayOfMonth 1 EQU -1
p91/d0921,You can't live on that island.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,NEGATION <1 person.n.01 NEGATION <1 NEGATION <1 POSSIBILITY <1 live.v.01 Theme -1 Location +1 island.n.01
p68/d0935,"If you take this bus, you will reach the village.",will,will,,,,,Y,,Y,CONSEQUENCE;TSU,person.n.01 EQU hearer take.v.09 Agent -1 Time +1 Theme +2 time.n.08 EQU now bus.n.01 CONSEQUENCE <1 person.n.01 EQU hearer time.n.08 TSU now reach.v.01 Theme -2 Time -1 Destination +1 village.n.02
p26/d1789,The train should reach Osaka by ten.,should,should,,,,Y,,,,NECESSITY,"train.n.01 NECESSITY <1 reach.v.01 Theme -1 Destination +1 Time +2 city.n.01 Name ""Osaka"" time.n.08 ClockTime 22:00"
p02/d2031,Tom can't swim at all.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,"male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 swim.v.01 Theme -1"
p07/d1779,I'll go to Greece.,'ll,will,,,,,Y,,,TSU,"person.n.01 EQU speaker time.n.08 TSU now go.v.01 Theme -2 Time -1 Destination +1 country.n.02 Name ""Greece"""
p28/d1660,I can't recall her name at the moment.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 recall.v.01 Agent -1 Theme +2 Time +3 female.n.02 name.n.01 User -1 time.n.08 EQU now
p90/d1734,He must be fined if he breaks the law.,must,must,,,,Y,,,Y,NECESSITY;PRECONDITION,male.n.02 NECESSITY <1 fine.v.01 Recipient -1 PRECONDITION <1 male.n.02 ANA -2 break.v.06 Agent -1 Time +1 Theme +2 time.n.08 EQU now law.n.01
p15/d2569,Lunch will be provided.,will,will,,,,,Y,,,TSU,lunch.n.01 time.n.08 TSU now provide.v.02 Theme -2 Time -1
p28/d2744,Drivers should wear seat belts.,should,should,,,,Y,,,,NECESSITY,person.n.01 Role +1 driver.n.01 NECESSITY <1 wear.v.02 Agent -2 Theme +1 seat_belt.n.01
p01/d2665,This damned computer won't work.,wo,will,neg,,,,Y,Y,,NEGATION;TSU,damned.a.01 AttributeOf +1 computer.n.01 NEGATION <1 time.n.08 TSU now work.v.04 Theme -2 Time -1
p13/d3256,I really must have my watch repaired.,must,must,,,,Y,Y,,,NECESSITY;TSU,person.n.01 EQU speaker NECESSITY <1 time.n.08 TSU now person.n.01 EQU speaker watch.n.01 User -1 repair.v.01 Beneficiary -4 Time -3 Patient -1
p25/d2518,"If you want a pen, I will lend you one.",will,will,,,,,Y,,Y,CONSEQUENCE;TSU,person.n.01 EQU hearer want.v.01 Pivot -1 Time +1 Theme +2 time.n.08 EQU now pen.n.01 CONSEQUENCE <1 person.n.01 EQU speaker time.n.08 TSU now lend.v.02 Agent -2 Time -1 Recipient +1 Theme +2 person.n.01 EQU hearer pen.n.01
p84/d0920,She promised me that she would clean my room.,would,would,,,,,Y,,Y,CONTINUATION;TSU,female.n.02 promise.v.01 Proposition >1 Agent -1 Time +1 Recipient +2 time.n.08 TPR now person.n.01 EQU speaker CONTINUATION <0 female.n.02 ANA -4 time.n.08 TSU now clean.v.02 Agent -2 Time -1 Source +2 person.n.01 EQU speaker room.n.01 User -1
p78/d1864,Tom can't speak French either.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,"male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 french.n.01"
p30/d3369,It will take me 20 minutes to get to the station by taxi.,will,will,,,,,Y,,,TSU,time.n.08 TSU now person.n.01 EQU speaker quantity.n.01 EQU 20 minute.n.01 Quantity -1 get.v.05 Time -4 Theme -3 Duration -1 Destination +1 Instrument +2 station.n.01 taxi.n.01
p76/d1905,Will that key unlock this drawer?,Will,will,,,,,Y,,,TSU,time.n.08 TSU now key.n.01 unlock.v.01 Time -2 Instrument -1 Patient +1 drawer.n.01
p01/d1238,Mr Jenninger will take the witness stand on 13 May.,will,will,,,,,Y,,,TSU,"mr.n.01 male.n.02 Name ""Jenninger"" Title -1 time.n.08 TSU now take.v.22 Theme -2 Time -1 Location +1 Time +3 witness_stand.n.01 time.n.08 DayOfMonth 13 EQU +1 time.n.08 MonthOfYear 5"
p00/d1710,This dog will protect us.,will,will,,,,,Y,,,TSU,dog.n.01 time.n.08 TSU now protect.v.01 Agent -2 Time -1 Beneficiary +1 person.n.01 Sub speaker
p10/d2719,We should break up.,should,should,,,,Y,,,,NECESSITY,person.n.01 Sub speaker NECESSITY <1 break_up.v.02 Patient -1
p47/d1215,The delegation will continue to Libya.,will,will,,,,,Y,,,TSU,"delegation.n.01 time.n.08 TSU now continue.v.04 Theme -2 Time -1 Destination +1 country.n.02 Name ""Libya"""
p74/d2359,A top-class shearer can shear up to 150 sheep in one day.,can,can,,,Y,,,Y,,NEGATION;POSSIBILITY,NEGATION <1 first-class.a.01 AttributeOf +2 person.n.01 Role +1 shearer.n.03 NEGATION <1 POSSIBILITY <1 shear.v.02 Agent -2 Source +3 Duration +5 quantity.n.01 TOP +1 quantity.n.01 EQU 150 sheep.n.01 Quantity -2 quantity.n.01 EQU 1 day.n.01 Quantity -1
p01/d2300,Tom can drive now.,can,can,,,Y,,,,,POSSIBILITY,"male.n.02 Name ""Tom"" POSSIBILITY <1 drive.v.01 Agent -1 Time +1 time.n.08 EQU now"
p90/d0937,You must promise me something.,must,must,,,,Y,,,,NECESSITY,person.n.01 EQU hearer NECESSITY <1 promise.v.01 Agent -1 Recipient +1 Topic +2 person.n.01 EQU speaker entity.n.01
p04/d2502,This can is leaking.,can,can,,,,,,,,,can.n.01 time.n.08 EQU now leak.v.04 Source -2 Time -1
p02/d3483,I can ride a horse.,can,can,,,Y,,,,,POSSIBILITY,person.n.01 EQU speaker POSSIBILITY <1 ride.v.01 Agent -1 Theme +1 horse.n.01
p79/d2734,We'll meet at 3:00 p.m.,'ll,will,,,,,Y,,,TSU,person.n.01 Sub speaker time.n.08 TSU now meet.v.02 Agent -2 Time -1 Time +1 time.n.08 ClockTime 15:00
p55/d1684,We should've bought three bottles of wine.,should,should,,,,Y,,,,NECESSITY,person.n.01 Sub speaker NECESSITY <1 buy.v.01 Agent -1 Time +1 Theme +4 time.n.08 TPR now quantity.n.01 EQU 3 bottle.n.02 Quantity -1 entity.n.01 Sub -1 Sub +1 wine.n.01
p62/d2568,I can't speak French.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 french.n.01
p40/d3310,That will cost thirty euros.,will,will,,,,,Y,,,TSU,entity.n.01 time.n.08 TSU now cost.v.01 Theme -2 Time -1 Value +2 quantity.n.01 EQU 30 euro.n.01 Quantity -1
p45/d2713,This damp match won't light.,wo,will,neg,,,,Y,Y,,NEGATION;TSU,damp.a.01 AttributeOf +1 match.n.01 time.n.08 TSU now NEGATION <1 light.v.04 Patient -2 Time -1
p90/d0841,He cannot swim.,can,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,male.n.02 NEGATION <1 POSSIBILITY <1 swim.v.01 Theme -1
p50/d2174,Anybody who wants this book can be given it.,can,can,,,Y,,,Y,,NEGATION;POSSIBILITY,NEGATION <1 person.n.01 EQU +1 entity.n.01 want.v.01 Pivot -1 Time +1 Theme +2 time.n.08 EQU now book.n.02 NEGATION <1 POSSIBILITY <1 give.v.03 Recipient -4 Theme +1 entity.n.01 ANA -2
p81/d0812,The death penalty should be abolished.,should,should,,,,Y,Y,,,NECESSITY;TSU,death_penalty.n.01 NECESSITY <1 time.n.08 TSU now abolish.v.01 Theme -2 Time -1
p15/d2333,You should go to the dentist and have that tooth pulled out.,should,should,,,,Y,Y,,,NECESSITY;TSU,person.n.01 EQU hearer time.n.08 TSU now tooth.n.01 pull_out.v.03 Source -3 Time -2 Theme -1 NECESSITY <1 go.v.01 Theme -4 Destination +1 person.n.01 Role +1 dentist.n.01
p25/d1541,A book can excite.,can,can,,,Y,,,Y,,NEGATION;POSSIBILITY,NEGATION <1 book.n.01 NEGATION <1 POSSIBILITY <1 excite.v.01 Stimulus -1
p73/d1885,This will cost about 10 thousand yen.,will,will,,,,,Y,,,TSU,entity.n.01 time.n.08 TSU now cost.v.01 Theme -2 Time -1 Value +2 quantity.n.01 APX 10000 yen.n.02 Quantity -1
p87/d2859,The ship will call at Yokohama.,will,will,,,,,Y,,,TSU,"ship.n.01 time.n.08 TSU now call.v.13 Theme -2 Time -1 Location +1 city.n.01 Name ""Yokohama"""
p61/d0766,This will cost €30.,will,will,,,,,Y,,,TSU,entity.n.01 time.n.08 TSU now cost.v.01 Theme -2 Time -1 Value +1 euro.n.01 Quantity +1 quantity.n.01 EQU 30
p50/d2499,Emily will surprise me.,will,will,,,,,Y,,,TSU,"female.n.02 Name ""Emily"" time.n.08 TSU now surprise.v.01 Stimulus -2 Time -1 Experiencer +1 person.n.01 EQU speaker"
p40/d1842,I'll be back at 6:30.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now back.r.01 AttributeOf -2 Time -1 Time +1 time.n.08 ClockTime 18:30
p10/d2033,I will make a note in my notebook.,will,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now make.v.16 Agent -2 Time -1 Product +1 Location +3 note.n.01 person.n.01 EQU speaker notebook.n.01 User -1
p03/d2393,The pain will wear off.,will,will,,,,,Y,,,TSU,pain.n.01 time.n.08 TSU now wear_off.v.02 Theme -2 Time -1
p10/d2463,You mustn't throw litter in the street.,must,must,neg,,,Y,,Y,,NECESSITY;NEGATION,person.n.01 EQU hearer NECESSITY <1 NEGATION <1 throw.v.03 Agent -1 Theme +1 Destination +2 litter.n.02 street.n.01
p20/d3193,They will be jealous.,will,will,,,,,Y,,,TSU,person.n.01 time.n.08 TSU now jealous.a.01 Experiencer -2 Time -1
p70/d3109,I'd like two kilos of apples.,'d,would,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now like.v.05 Pivot -2 Time -1 Theme +3 quantity.n.01 EQU 2 kilo.n.01 Quantity -1 entity.n.01 Sub -1 Sub +1 apple.n.01
p00/d1593,I will not lie to her.,will,will,neg,,,,Y,Y,,NEGATION;TSU,person.n.01 EQU speaker NEGATION <1 time.n.08 TSU now lie.v.05 Agent -2 Time -1 Recipient +1 female.n.02
p62/d2651,Candles will be provided.,will,will,,,,,Y,,,TSU,candle.n.01 time.n.08 TSU now provide.v.02 Theme -2 Time -1
p24/d1522,He'll go to Ireland.,'ll,will,,,,,Y,,,TSU,"male.n.02 time.n.08 TSU now go.v.01 Theme -2 Time -1 Destination +1 country.n.02 Name ""Ireland"""
p53/d2645,He will arrive on June 24th.,will,will,,,,,Y,,,TSU,male.n.02 time.n.08 TSU now arrive.v.01 Theme -2 Time -1 Time +2 time.n.08 MonthOfYear 6 EQU +1 time.n.08 DayOfMonth 24
p99/d2265,What time will you leave?,will,will,,,,,Y,,,TSU,time.n.08 ClockTime ? time.n.08 TSU now person.n.01 EQU hearer leave.v.01 Time -3 Time -2 Theme -1
p92/d2157,This Wednesday I'll see Carla.,'ll,will,,,,,Y,,,TSU,"time.n.08 DayOfWeek wednesday person.n.01 EQU speaker time.n.08 TSU now see.v.08 Time -3 Agent -2 Time -1 Co-Agent +1 female.n.02 Name ""Carla"""
p00/d2860,I can't understand this table.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 understand.v.01 Experiencer -1 Stimulus +1 table.n.01
p69/d0771,What time will you get to the station?,will,will,,,,,Y,,,TSU,time.n.08 ClockTime ? time.n.08 TSU now person.n.01 EQU hearer get.v.05 Time -3 Time -2 Theme -1 Destination +1 station.n.01
p51/d3342,"If you invite him, he may come.",may,may,,,Y,,,,Y,CONSEQUENCE;POSSIBILITY,person.n.01 EQU hearer invite.v.02 Agent -1 Theme +1 male.n.02 CONSEQUENCE <1 male.n.02 ANA -1 POSSIBILITY <1 come.v.01 Theme -1
p38/d1424,He will wait.,will,will,,,,,Y,,,TSU,male.n.02 time.n.08 TSU now wait.v.01 Theme -2 Time -1
p25/d2856,What kind of music will you guys be playing?,will,will,,,,,Y,,,TSU,entity.n.01 InstanceOf +1 EQU ? music.n.01 time.n.08 TSU now person.n.01 EQU hearer guy.n.01 SubOf -1 time.n.08 EQU now play.v.07 Time -4 Theme -6 Agent -2 Time -1
p86/d1579,We'll have loads of fun.,'ll,will,,,,,Y,,,TSU,person.n.01 Sub speaker time.n.08 TSU now have.v.03 Experiencer -2 Time -1 Stimulus +1 entity.n.01 Quantity + EQU +1 fun.n.01
p16/d3542,"Though I failed, I will try again.",will,will,,,,,Y,,Y,CONTRAST;TSU,person.n.01 EQU speaker fail.v.02 Agent -1 Time +1 time.n.08 TPR now CONTRAST <1 person.n.01 EQU speaker time.n.08 TSU now try.v.01 Agent -2 Time -1
p24/d1509,Tom must be at least thirty years old.,must,must,,,,Y,,,,NECESSITY,"male.n.02 Name ""Tom"" NECESSITY <1 time.n.08 EQU now quantity.n.01 BOT +1 quantity.n.01 EQU 30 year.n.01 Quantity -2 old.a.01 Theme -5 Time -4 Value -1"
p82/d3242,We must keep a diary every day.,must,must,,,,Y,,Y,Y,CONJUNCTION;NECESSITY;NEGATION,person.n.01 Sub speaker NECESSITY <1 NEGATION <1 NEGATION <1 keep.v.08 Agent -2 Theme +1 Time +2 diary.n.01 CONJUNCTION <2 day.n.01
p34/d2900,Tom can also speak some French.,can,can,,,Y,,,,,POSSIBILITY,"male.n.02 Name ""Tom"" POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 french.n.01"
p48/d0772,The ice will give under your weight.,will,will,,,,,Y,,,TSU,ice.n.02 time.n.08 TSU now give.v.26 Patient -2 Time -1 Causer +2 person.n.01 EQU hearer weight.n.01 FeatureOf -1
p12/d2802,The ship will stop in Yokohama.,will,will,,,,,Y,,,TSU,"ship.n.01 time.n.08 TSU now stop.v.04 Theme -2 Time -1 Location +1 city.n.01 Name ""Yokohama"""
p11/d2216,The flight to Boston should take about ninety minutes.,should,should,,,,Y,,,,NECESSITY,"flight.n.02 Destination +1 city.n.01 Name ""Boston"" NECESSITY <1 take.v.02 Theme -2 Value +2 quantity.n.01 APX 90 minute.n.01 Quantity -1"
p60/d3412,Tom can borrow my car for a few days.,can,can,,,Y,,,,,POSSIBILITY,"male.n.02 Name ""Tom"" POSSIBILITY <1 borrow.v.01 Agent -1 Theme +2 Duration +3 person.n.01 EQU speaker car.n.01 User -1 day.n.01 Quantity -"
p32/d1658,"Subway fares will be raised as of April 1st, 1999.",will,will,,,,,Y,,,TSU,subway_fare.n.01 time.n.08 TSU now raise.v.01 Patient -2 Time -1 Start +2 time.n.08 MonthOfYear 4 EQU +1 time.n.08 DayOfMonth 1 EQU +1 time.n.08 YearOfCentury 1999
p61/d3418,I can't stand that noise anymore.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 stand.v.05 Experiencer -1 Stimulus +1 noise.n.01
p10/d3512,I cannot swim at all.,can,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 swim.v.01 Theme -1
p55/d2960,It will be also interesting.,will,will,,,,,Y,,,TSU,entity.n.01 time.n.08 TSU now interesting.a.01 AttributeOf -2 Time -1
p09/d0855,I can't find my watch.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 find.v.03 Agent -1 Theme +2 person.n.01 EQU speaker watch.n.01 User -1
p31/d3318,Tom won't give in.,wo,will,neg,,,,Y,Y,,NEGATION;TSU,"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 TSU now give_in.v.01 Agent -2 Time -1"
p41/d2712,"If he is not ill, he will come.",will,will,,,,,Y,Y,Y,CONSEQUENCE;NEGATION;TSU,male.n.02 NEGATION <1 time.n.08 EQU now ill.a.01 AttributeOf -2 Time -1 CONSEQUENCE <1 male.n.02 ANA -3 time.n.08 TSU now come.v.02 Theme -2 Time -1
