id	nl	mr	repair_head_smatch	repair_mid_smatch	repair_tail_smatch	repair_interrug_smatch	repair_head_nl	repair_mid_nl	repair_tail_nl	repair_interrug_nl	repair_head_sbn	repair_mid_sbn	repair_tail_sbn	repair_interrug_sbn
p70/d1872	Tom has been sitting on the riverbank for hours. 	"male.n.02 Name \\\""Tom\\\"" time.n.08 TPR now sit.v.01 Theme -2 Time -1 Location +1 Duration +2 riverbank.n.01 hour.n.01"					Jerry, Tom has been sitting on the riverbank for hours.	Tom has been sitting on the lakeshore, the riverbank for hours.	Tom has been sitting on the lakeside, the riverbank for hours.	Tom has been sitting on the lakeshore, I mean, the riverbank for hours.	"male.n.02 Name ""Jerry"" entity.n.01 Sub -1 Sub +1 male.n.02 Name ""Tom"" time.n.08 TPR now sit.v.01 Theme -3 Time -1 Location +1 Duration +2 riverbank.n.01 hour.n.01"	"male.n.02 Name ""Tom"" time.n.08 TPR now sit.v.01 Theme -2 Time -1 Location +1 Duration +2 Duration +3 lakeshore.n.01 riverbank.n.01 hour.n.01"	"male.n.02 Name ""Tom"" time.n.08 TPR now sit.v.01 Theme -2 Time -1 Location +1 Duration +2 Duration +3 lakeside.n.01 riverbank.n.01 hour.n.01"	"male.n.02 Name ""Tom"" time.n.08 TPR now sit.v.01 Theme -2 Time -1 Location +1 Duration +2 lakeshore.n.01 person.n.01 EQU speaker mean.v.03 Agent -1 Time +1 Theme +2 Duration +3 time.n.08 EQU now riverbank.n.01 hour.n.01"
p97/d1395	How many rooms does the Las Vegas MGM Grand Hotel have? 	"room.n.01 Quantity ? time.n.08 EQU now city.n.01 Name \\\""Las Vegas\\\"" facility.n.01 Name \\\""MGM Grand Hotel\\\"" Location -1 have.v.02 Theme -4 Time -3 Pivot -1"					How less, many rooms does the Las Vegas MGM Grand Hotel have?	How many rooms does the Las Vegas Bellagio, the MGM Grand Hotel have?	"\\\""How many rooms does the Las Vegas MGM Grand Hotel have, own?\\\"""	How many rooms does the Las Vegas Bellagio, I mean, the MGM Grand Hotel have?	"room.n.01 Quantity ? time.n.08 EQU now city.n.01 Name ""Las Vegas"" facility.n.01 Name ""MGM Grand Hotel"" Location -1 have.v.02 Theme -4 Time -3 Pivot -1"	"room.n.01 Quantity ? time.n.08 EQU now city.n.01 Name ""Las Vegas"" bellagio.n.01 Name ""MGM Grand Hotel"" Location -1 have.v.02 Theme -4 Time -3 Pivot -1"	"room.n.01 Quantity ? time.n.08 EQU now city.n.01 Name ""Las Vegas"" facility.n.01 Name ""MGM Grand Hotel"" Location -1 have.v.02 Theme -4 Time -3 Pivot -1 CONTINUATION <1 time.n.08 EQU now own.v.01 Theme -6 Time -1"	"room.n.01 Quantity ? time.n.08 EQU now city.n.01 Name ""Las Vegas"" bellagio.n.01 Location -1 person.n.01 EQU speaker mean.v.02 Time -3 Theme -4 Agent -1 CONTINUATION <0 person.n.01 EQU speaker mean.v.01 Proposition <1 Agent -1 CONTINUATION <2 hotel.n.01 Name"
p41/d2557	I was born on the twenty second of November, nineteen forty eight. 	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 EQU +2 time.n.08 MonthOfYear 11 EQU -1 time.n.08 YearOfCentury 1948					The twenty first, the twenty second of November, nineteen forty eight.	I was born on the twelfth, the twenty second of November, nineteen forty eight.	I was born on the twenty third, the twenty second of November, nineteen forty eight.	I was born on the twelfth, I mean, the twenty second of November, nineteen forty eight.	event.v.01 Participant +1 time.n.08 DayOfMonth 22 EQU +1 time.n.08 MonthOfYear 11 EQU +1 time.n.08 YearOfCentury 1148	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 12 EQU +2 time.n.08 MonthOfYear 11 EQU -1 time.n.08 YearOfCentury 1948	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 EQU +2 time.n.08 MonthOfYear 11 EQU -1 time.n.08 YearOfCentury 1948	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 12 EQU +1 time.n.08 MonthOfYear 11 EQU +1 time.n.08 YearOfCentury 1948
p41/d1861	I ran into a friend of mine on the bus. 	person.n.01 EQU speaker run_into.v.04 Agent -1 Time +1 Co-Agent +2 Location +5 time.n.08 TPR now person.n.01 Role +1 friend.n.01 Of +1 person.n.01 EQU speaker bus.n.01					I ran over, ran into a friend of mine on the bus.	I ran into a neighbor, a friend of mine on the bus.	I ran into a friend of mine on the train, the bus.	I ran into a neighbor, I mean, a friend of mine on the bus.	person.n.01 EQU speaker run_over.v.01 Patient -1 Time +1 time.n.08 TPR now run_into.v.04 Agent -3 Time +1 Co-Agent +2 Location +5 time.n.08 TPR now person.n.01 Role +1 friend.n.01 Of +1 person.n.01 EQU speaker bus.n.01	person.n.01 EQU speaker run_into.v.04 Agent -1 Time +1 Co-Agent +2 Location +5 time.n.08 TPR now person.n.01 Role +1 neighbor.n.01 person.n.01 Role +1 friend.n.01 Of +1 person.n.01 EQU speaker bus.n.01	person.n.01 EQU speaker run_into.v.04 Agent -1 Time +1 Co-Agent +2 Location +5 time.n.08 TPR now person.n.01 Role +1 friend.n.01 Of +1 person.n.01 EQU speaker train.n.01 bus.n.01	person.n.01 EQU speaker run_into.v.04 Agent -1 Time +1 Co-Agent +2 time.n.08 TPR now person.n.01 Role +1 neighbor.n.01 CONTINUATION <1 person.n.01 EQU speaker mean.v.02 Theme -1 Time +1 Co-Theme +2 Location +5 time.n.08 EQU now person.n.01 Role +1 friend.
p01/d1777	He left the bedroom and entered the living room. 	male.n.02 leave.v.01 Theme -1 Time +1 Source +2 time.n.08 TPR now bedroom.n.01 enter.v.01 Theme -4 Time +1 Destination +2 time.n.08 TPR now living_room.n.01					He entered, left the bedroom and entered the living room.	He left the kitchen, the bedroom and entered the living room.	He left the bedroom and entered the kitchen, the living room.	He left the kitchen, I mean, the bedroom and entered the living room.	male.n.02 enter.v.01 Theme -1 Time +1 time.n.08 TPR now leave.v.01 Theme -3 Time +1 Source +2 time.n.08 TPR now bedroom.n.01 enter.v.01 Theme -5 Time +1 Destination +2 time.n.08 TPR now living_room.n.01	male.n.02 leave.v.01 Theme -1 Time +1 Source +3 time.n.08 TPR now kitchen.n.01 bedroom.n.01 enter.v.01 Theme -5 Time +1 Destination +2 time.n.08 TPR now living_room.n.01	male.n.02 leave.v.01 Theme -1 Time +1 Source +2 time.n.08 TPR now bedroom.n.01 enter.v.01 Theme -4 Time +1 Destination +2 time.n.08 TPR now kitchen.n.01 EQU +1 living_room.n.01	male.n.02 leave.v.01 Theme -1 Time +1 Source +2 time.n.08 TPR now kitchen.n.01 CONTINUATION <1 person.n.01 EQU speaker mean.v.02 Agent -1 Theme +1 bedroom.n.01 enter.v.01 Theme -5 Time +1 Destination +2 time.n.08 TPR now living_room.n.01
p42/d1518	I was born on the twenty-second of June in 1974. 	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 time.n.08 MonthOfYear 6 EQU -1 time.n.08 YearOfCentury 1974 EQU -1					My mom, I was born on the twenty-second of June in 1974.	I was born on the twenty-first, the twenty-second of June in 1974.	I was born on the twenty-second of June in 1973, 1974.	I was born on the twenty-first, I mean, the twenty-second of June in 1974.	person.n.01 EQU speaker person.n.01 Role +1 EQU +2 mom.n.01 Of -2 person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -4 Time -1 Time +1 time.n.08 DayOfMonth 22 EQU +2 time.n.08 MonthOfYear 6 EQU -1 time.n.08 YearOfCentury 1974	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 EQU +2 time.n.08 MonthOfYear 6 EQU -1 time.n.08 YearOfCentury 1974	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 EQU +2 Time +3 time.n.08 MonthOfYear 6 EQU -1 time.n.08 YearOfCentury 1973 time.n.08 YearOfCentury 1974	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 EQU +1 time.n.08 MonthOfYear 6 EQU +1 time.n.08 YearOfCentury 1974 CONTINUATION <1 person.n.01 EQU speaker mean.v.02 Theme -1 Time +1 Agent +2 Time +3 tim
p73/d2775	She chatted with her friends about the baseball game. 	female.n.02 chat.v.01 Agent -1 Time +1 Co-Agent +3 Topic +5 time.n.08 TPR now female.n.02 ANA -3 person.n.01 Role +1 friend.n.01 Of -2 baseball_game.n.01					He, she chatted with her friends about the baseball game.	She chatted with her coworkers, her friends about the baseball game.	She chatted with her friends about the basketball game, the baseball game.	She chatted with her coworkers, I mean, her friends about the baseball game.	male.n.02 entity.n.01 Sub -1 Sub +1 female.n.02 chat.v.01 Agent -2 Time +1 Co-Agent +3 Topic +5 time.n.08 TPR now female.n.02 ANA -4 person.n.01 Role +1 friend.n.01 Of -2 baseball_game.n.01	female.n.02 chat.v.01 Agent -1 Time +1 Co-Agent +5 Topic +10 time.n.08 TPR now female.n.02 ANA -3 person.n.01 Role +1 co-worker.n.01 Of -2 female.n.02 ANA -6 person.n.01 Role +1 friend.n.01 Of -2 Topic +1 baseball_game.n.01	female.n.02 chat.v.01 Agent -1 Time +1 Co-Agent +3 Topic +5 time.n.08 TPR now female.n.02 ANA -3 person.n.01 Role +1 friend.n.01 Of -2 basketball_game.n.01 EQU +1 baseball_game.n.01	female.n.02 chat.v.01 Agent -1 Time +1 Co-Agent +3 Topic +6 time.n.08 TPR now female.n.02 ANA -3 person.n.01 Role +1 co-worker.n.01 Of -2 person.n.01 EQU speaker mean.v.07 Agent -1 Time +1 Topic +3 time.n.08 EQU now female.n.02 ANA -8 person.n.01 Role +1 
p11/d3265	This stone is beautiful. Where did you find it? 	stone.n.01 time.n.08 EQU now beautiful.a.01 AttributeOf -2 Time -1 CONTINUATION <1 location.n.01 Name ? time.n.08 TPR now person.n.01 EQU hearer find.v.01 Location -3 Time -2 Agent -1 Theme +1 entity.n.01 ANA -7					This coral, stone is beautiful. Where did you find it? 	This stone is ugly, beautiful. Where did you find it?	This stone is beautiful. Where did you find it in the garden, in the river?	This stone is ugly, I mean, beautiful. Where did you find it?	coral.n.01 stone.n.01 time.n.08 EQU now time.n.08 EQU now beautiful.a.01 AttributeOf -4 Time -2 beautiful.a.01 AttributeOf -4 Time -2 CONTINUATION <1 location.n.01 Name ? time.n.08 TPR now person.n.01 EQU hearer find.v.01 Location -3 Time -2 Agent -1 Theme +1	stone.n.01 time.n.08 EQU now time.n.08 EQU now ugly.a.01 AttributeOf -3 Time -2 beautiful.a.01 AttributeOf -4 Time -2 CONTINUATION <1 location.n.01 Name ? time.n.08 TPR now person.n.01 EQU hearer find.v.01 Location -3 Time -2 Agent -1 Theme +1 entity.n.01	stone.n.01 time.n.08 EQU now beautiful.a.01 AttributeOf -2 Time -1 CONTINUATION <1 location.n.01 Name ? time.n.08 TPR now person.n.01 EQU hearer find.v.01 Location -3 Time -2 Agent -1 Theme +1 Location +2 entity.n.01 garden.n.01 Location +1 river.n.01	stone.n.01 time.n.08 EQU now time.n.08 EQU now ugly.a.01 AttributeOf -3 Time -2 CONTINUATION <1 person.n.01 EQU speaker mean.v.02 Agent -1 Time +1 Topic +2 time.n.08 EQU now beautiful.a.01 AttributeOf -3 CONTINUATION <1 location.n.01 Name ? time.n.08 TPR n
p40/d1481	Besides being a surgeon, he was a famous writer. 	be.v.08 Co-Theme +1 Theme +3 person.n.01 Role +1 surgeon.n.01 male.n.02 be.v.08 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now famous.a.01 AttributeOf +2 person.n.01 Role +1 writer.n.01					Except, besides being a surgeon, he was a famous writer.	Besides being a painter, a surgeon, he was a famous writer.	Besides being a surgeon, he was a famous painter, a writer.	Besides being a painter, I mean, a surgeon, he was a famous writer.	be.v.08 Co-Theme +1 Theme +3 person.n.01 Role +1 surgeon.n.01 male.n.02 be.v.08 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now famous.a.01 AttributeOf +2 person.n.01 Role +1 writer.n.01	be.v.08 Co-Theme +3 Theme +7 be.v.08 Co-Theme +3 Theme +7 be.v.08 Co-Theme +3 Theme +7 be.v.08 Co-Theme +3 Theme +7 be.v.08 Co-Theme +3 Theme +7 be.v.08 Co-Theme +3 Theme +7 be.v.08 Co-Theme +3 Theme +7 be.v.08 Co-Theme +3 Theme +7 be.v.08 Co-Theme +3 Them	be.v.08 Co-Theme +1 Theme +3 person.n.01 Role +1 surgeon.n.01 male.n.02 be.v.08 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now famous.a.01 AttributeOf +2 person.n.01 Role +1 painter.n.01 EQU +1 person.n.01 Role +1 writer.n.01	be.v.08 Co-Theme +1 Theme +3 person.n.01 Role +1 painter.n.01 person.n.01 EQU speaker mean.v.08 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 surgeon.n.01 male.n.02 be.v.08 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now famous.a.01 Attr
p78/d3210	The Japanese attacked Pearl Harbor on December 7, 1941. 	"person.n.01 Source +1 country.n.02 Name \\\""japan\\\"" attack.v.01 Agent -2 Time +1 Patient +2 Time +4 time.n.08 TPR now seaport.n.01 Name \\\""Pearl Harbor\\\"" time.n.08 MonthOfYear 12 EQU +1 time.n.08 DayOfMonth 7 EQU +1 time.n.08 YearOfCentury 1941"					The Germans, the Japanese attacked Pearl Harbor on December 7, 1941.	The Japanese bombed, attacked Pearl Harbor on December 7, 1941.	The Japanese attacked Pearl Harbor on December 8, 1941, December 7, 1941.	The Japanese bombed, I mean, attacked Pearl Harbor on December 7, 1941.	"person.n.01 Source +1 country.n.02 Name ""germany"" person.n.01 Source +1 country.n.02 Name ""japan"" attack.v.01 Agent -4 Time +2 Patient +4 Time +7 attack.v.01 Agent -4 Time +2 Patient +4 time.n.08 TPR now time.n.08 TPR now seaport.n.01 Name ""Pearl Harbor"" t"	"person.n.01 Source +1 country.n.02 Name ""japan"" bomb.v.02 Agent -2 Time +1 Patient +2 Time +4 time.n.08 TPR now seaport.n.01 Name ""Pearl Harbor"" time.n.08 MonthOfYear 12 EQU +1 time.n.08 DayOfMonth 7 EQU +1 time.n.08 YearOfCentury 1941"	"person.n.01 Source +1 country.n.02 Name ""japan"" attack.v.01 Agent -2 Time +1 Patient +2 Time +4 time.n.08 TPR now seaport.n.01 Name ""Pearl Harbor"" time.n.08 MonthOfYear 12 EQU +1 time.n.08 DayOfMonth 8 EQU +1 time.n.08 YearOfCentury 1941 time.n.08 MonthOfY"	"person.n.01 Source +1 country.n.02 Name ""japan"" bomb.v.02 Agent -2 Time +1 Patient +2 time.n.08 TPR now person.n.01 EQU speaker mean.v.02 Agent -5 Time +1 Patient +2 time.n.08 TPR now attack.v.01 Agent -7 Time +1 Patient +2 Time +4 time.n.08 TPR now sea"
p02/d1144	Machine guns were mounted on window-sills, rifles stacked between the mattresses. 	machine_gun.n.01 time.n.08 TPR now mount.v.01 Theme -2 Time -1 Location +1 windowsill.n.01 CONTINUATION <1 rifle.n.01 stack.v.02 Theme -1 Time +1 Location +2 time.n.08 TPR now location.n.01 SY2 +1 mattress.n.01					Blades, machine guns were mounted on window-sills, rifles stacked between the mattresses.	Machine guns were mounted on rooftops, window-sills, rifles stacked between the mattresses.	Machine guns were mounted on window-sills, rifles stacked between the pillows, the mattresses.	Machine guns were mounted on rooftops, I mean, window-sills, rifles stacked between the mattresses.	blade.n.06 machine_gun.n.01 time.n.08 TPR now time.n.08 TPR now mount.v.01 Theme -4 Time -2 Location +2 mount.v.01 Theme -4 Time -2 Location +2 window_sill.n.01 rifle.n.01 stack.v.01 Theme -1 Location +1 location.n.01 SY2 +1 person.n.01 Role +1 mattress	machine_gun.n.01 time.n.08 TPR now mount.v.01 Theme -2 Time -1 Location +1 rooftop.n.01 CONTINUATION <1 window_sill.n.01 entity.n.01 Sub -1 Sub +1 rifle.n.01 stack.v.01 Theme -1 Location +1 location.n.01 SY2 +1 person.n.01 Role +1 mattress.n.01	machine_gun.n.01 time.n.08 TPR now mount.v.01 Theme -2 Time -1 Location +1 window_sill.n.01 CONTINUATION <1 rifle.n.01 stack.v.01 Theme -1 Location +1 location.n.01 SY2 +1 pillow.n.01 CONTINUATION <0 person.n.01 Role +1 mattress.n.01	machine_gun.n.01 time.n.08 TPR now mount.v.01 Theme -2 Time -1 Location +1 rooftop.n.01 CONTINUATION <1 person.n.01 EQU speaker mean.v.02 Proposition >1 Agent -1 Time +1 time.n.08 EQU now CONTINUATION <0 window_sill.n.01 entity.n.01 Sub -1 Sub +1 rifle.n
p28/d3463	Tom made himself a peanut butter and jelly sandwich. 	"male.n.02 Name \\\""Tom\\\"" make.v.03 Agent -1 Time +1 Beneficiary +2 Result +5 time.n.08 TPR now male.n.02 ANA -3 peanut_butter.n.01 jelly.n.02 sandwich.n.01 Part -2 Part -1"					Kevin, Tom made himself a peanut butter and jelly sandwich.	Tom made himself a ham, peanut butter and jelly sandwich.	Tom made himself a peanut butter and jelly sandwich, a ham and cheese sandwich.	Tom made himself a ham, I mean, peanut butter and jelly sandwich.	"male.n.02 Name ""Kevin"" entity.n.01 Sub -1 Sub +1 male.n.02 Name ""Tom"" make.v.06 Agent -2 Time +1 Beneficiary +2 Result +5 time.n.08 TPR now male.n.02 ANA -4 peanut_butter.n.01 jelly.n.02 sandwich.n.01 MadeOf -2 PartOf -1"	"male.n.02 Name ""Tom"" make.v.16 Agent -1 Time +1 Beneficiary +2 Result +5 time.n.08 TPR now male.n.02 ANA -3 ham.n.01 peanut_butter.n.01 jelly.n.02 sandwich.n.01 MadeOf -2 Part -1"	"male.n.02 Name ""Tom"" make.v.16 Agent -1 Time +1 Beneficiary +2 Result +5 time.n.08 TPR now male.n.02 ANA -3 peanut_butter.n.01 jelly.n.02 sandwich.n.01 MadeOf -2 PartOf -1 EQU +2 ham.n.01 entity.n.01 Sub -1 Sub +2 cheese.n.01 sandwich.n.01 MadeOf -1"	"male.n.02 Name ""Tom"" make.v.16 Agent -1 Time +1 Beneficiary +2 Result +3 time.n.08 TPR now male.n.02 ANA -3 ham.n.01 CONTINUATION <1 person.n.01 EQU speaker mean.v.01 Agent -1 Time +1 Theme +4 time.n.08 EQU now peanut_butter.n.01 jelly.n.02 sandwich.n.01 "
p80/d1692	An actress fainted right in the middle of the play. 	person.n.01 Role +1 actress.n.01 faint.v.01 Patient -2 Time +1 Context +2 time.n.08 TPR now middle.n.04 PartOf +1 play.n.02					An actress from the audience, an actress fainted right in the middle of the play.	An actress fainted right in the garden, the middle of the play.	An actress fainted right in the middle of the movie, the play.	An actress fainted right in the garden, I mean, the middle of the play.	person.n.01 Role +1 Source +2 actress.n.01 Source +1 audience.n.01 person.n.01 Role +1 actress.n.01 faint.v.01 Patient -5 Time +1 Context +2 time.n.08 TPR now middle.n.01 PartOf +1 play.n.01	person.n.01 Role +1 actress.n.01 faint.v.01 Patient -2 Time +1 Context +2 time.n.08 TPR now garden.n.01 ContentOf +1 entity.n.01 middle.n.02 PartOf +1 play.n.02	person.n.01 Role +1 actress.n.01 faint.v.01 Patient -2 Time +1 Context +2 time.n.08 TPR now middle.n.01 PartOf +1 movie.n.01 CONTINUATION <1 faint.v.01 Patient -5 Time +1 Context +2 time.n.08 TPR now play.n.01	person.n.01 Role +1 actress.n.01 faint.v.01 Patient -2 Time +1 Context +2 time.n.08 TPR now garden.n.01 CONTINUATION <1 person.n.01 EQU speaker mean.v.02 Agent -1 Time +1 Theme +2 time.n.08 EQU now middle.n.01 PartOf +1 play.n.01
p30/d0016	A man is filling a container made of plastic 	man.n.01 time.n.08 EQU now fill.v.01 Agent -2 Time -1 Destination +1 container.n.01 make.v.06 Product -1 Material +1 plastic.n.01					A box, a man is filling a container made of plastic	A man is filling a bottle, a container made of plastic	A man is filling a container made of glass, plastic.	A man is filling a bottle, I mean, a container made of plastic	box.n.01 entity.n.01 Sub -1 Sub +1 man.n.01 time.n.08 EQU now fill.v.01 Agent -3 Time -1 Destination +1 container.n.01 make.v.06 Product -1 Material +1 plastic.n.01	man.n.01 time.n.08 EQU now time.n.08 EQU now fill.v.01 Agent -3 Time -2 Destination +2 fill.v.01 Agent -4 Time -2 Destination +2 bottle.n.01 container.n.01 make.v.06 Product -1 Material +1 plastic.n.01	man.n.01 time.n.08 EQU now fill.v.01 Agent -2 Time -1 Destination +1 container.n.01 make.v.06 Product -1 Material +2 glass.n.01 plastic.n.01 MadeOf -1	man.n.01 time.n.08 EQU now fill.v.01 Agent -2 Time -1 Destination +1 bottle.n.01 CONTINUATION <1 person.n.01 EQU speaker mean.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now container.n.01 make.v.06 Product -1 Material +1 plastic.n.01
p14/d1811	Tom, Mary and John were playing tag on the playground. 	"male.n.02 Name \\\""Tom\\\"" female.n.02 Name \\\""Mary\\\"" entity.n.01 Sub -2 Sub -1 Sub +1 male.n.02 Name \\\""John\\\"" time.n.08 TPR now play.v.01 Agent -3 Time -1 Theme +1 tag.n.04 Location +1 playground.n.02"					John, Tom, Mary and John were playing tag on the playground.	Tom, Mary and John were playing hide and seek, tag on the playground.	Tom, Mary and John were playing tag on the soccer field, the playground.	Tom, Mary and John were playing hide and seek, I mean, tag on the playground.	"male.n.02 Name ""John"" male.n.02 Name ""Tom"" female.n.02 Name ""Mary"" entity.n.01 Sub -2 Sub -1 Sub +1 male.n.02 Name ""John"" time.n.08 TPR now play.v.01 Agent -3 Time -1 Theme +1 Location +2 tag.n.04 playground.n.01"	"male.n.02 Name ""Tom"" female.n.02 Name ""Mary"" entity.n.01 Sub -1 Sub +1 male.n.02 Name ""John"" time.n.08 TPR now play.v.01 Agent -3 Time -1 Theme +2 hide-and-seek.n.01 tag.n.05 Theme -1 Location +1 playground.n.01"	"male.n.02 Name ""Tom"" female.n.02 Name ""Mary"" entity.n.01 Sub -1 Sub +1 male.n.02 Name ""John"" time.n.08 TPR now play.v.01 Agent -3 Time -1 Theme +1 Location +2 tag.n.04 soccer_field.n.01 Goal +1 playground.n.01"	"male.n.02 Name ""Tom"" female.n.02 Name ""Mary"" entity.n.01 Sub -1 Sub +1 male.n.02 Name ""John"" time.n.08 TPR now play.v.01 Agent -3 Time -1 Theme +2 hide-and-seek.n.01 CONTINUATION <1 person.n.01 EQU speaker mean.v.07 Agent -1 Time +1 Theme +2 time.n.08 EQU "
p12/d2112	If I don't have a bow, I can't play the violin. 	person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now have.v.01 Pivot -2 Time -1 Theme +1 bow.n.02 CONSEQUENCE <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 play.v.07 Agent -1 Theme +1 violin.n.01					If my son, I don't have a bow, I can't play the violin.	If I don't have a bat, a bow, I can't play the violin.	If I don't have a bow, I can't play the flute, the violin.	If I don't have a bat, I mean, a bow, I can't play the violin.	person.n.01 EQU speaker person.n.01 Role +1 son.n.01 Of -2 person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now have.v.04 Pivot -4 Time -1 Theme +1 bow.n.02 CONSEQUENCE <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 play.v.07 Agent -1 Theme +1 viol	person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now have.v.01 Pivot -2 Time -1 Theme +1 bat.n.06 CONSEQUENCE <1 bow.n.03 NEGATION <1 POSSIBILITY <1 play.v.07 Agent -1 Theme +1 violin.n.01	person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now have.v.01 Pivot -2 Time -1 Theme +1 bow.n.02 CONSEQUENCE <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 play.v.07 Agent -1 Theme +1 flute.n.01 CONTINUATION <2 violin.n.01 NEGATION <1 POSSIBILITY <	person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now have.v.01 Pivot -2 Time -1 Theme +1 bat.n.06 CONSEQUENCE <1 person.n.01 EQU speaker mean.v.07 Agent -1 Time +1 Theme +2 time.n.08 EQU now bow.n.02 CONTINUATION <3 person.n.01 EQU speaker NEGATION <1 POSS
p49/d3111	I hear that Bob and Lucy have broken up. 	"person.n.01 EQU speaker hear.v.02 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 male.n.02 Name \\\""Bob\\\"" entity.n.01 Sub -1 Sub +1 female.n.02 Name \\\""Lucy\\\"" break_up.v.02 Patient -2 Time +1 time.n.08 TPR now"					I sense, I hear that Bob and Lucy have broken up.	I hear that Alice, Bob and Lucy have broken up.	I hear that Bob and Lucy have broken up, separated.	I hear that Alice, I mean, Bob and Lucy have broken up.	"person.n.01 EQU speaker sense.v.01 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 male.n.02 Name ""Bob"" entity.n.01 Sub -1 Sub +1 female.n.02 Name ""Lucy"" break_up.v.01 Patient -2 Time +1 time.n.08 TPR now"	"person.n.01 EQU speaker hear.v.01 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 female.n.02 Name ""Alice"" male.n.02 Name ""Bob"" entity.n.01 Sub -1 Sub +1 female.n.02 Name ""Lucy"" break_up.v.01 Patient -2 Time +1 time.n.08 TPR now"	"person.n.01 EQU speaker hear.v.02 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 male.n.02 Name ""Bob"" entity.n.01 Sub -1 Sub +1 female.n.02 Name ""Lucy"" break_up.v.01 Patient -2 Time +1 time.n.08 TPR now"	"person.n.01 EQU speaker hear.v.01 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 female.n.02 Name ""Alice"" person.n.01 EQU speaker mean.v.01 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 male.n.02 Name ""Bob"""
p27/d2907	Kinshasa is the capital of Democratic Republic of the Congo. 	"city.n.01 Name \\\""Kinshasa\\\"" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now national_capital.n.01 PartOf +1 country.n.02 Name \\\""Democratic Republic of the Congo\\\"""					Bukavu, Kinshasa is the capital of Democratic Republic of the Congo.	Kinshasa is a town, the capital of the Democratic Republic of the Congo.	Kinshasa is the capital of Rwanda, the Democratic Republic of the Congo.	Kinshasa is a town, I mean, the capital of the Democratic Republic of the Congo.	"city.n.01 Name ""Bukavu"" city.n.01 Name ""Kinshasa"" entity.n.01 Sub -1 Sub +1 city.n.01 Name ""Kinshasa"" be.v.02 Theme -2 Time +1 Co-Theme +2 time.n.08 EQU now capital.n.03 PartOf +1 country.n.02 Name ""Democratic Republic of the Congo"""	"city.n.01 Name ""Kinshasa"" be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now town.n.01 EQU +1 capital.n.03 PartOf +1 country.n.02 Name ""Democratic Republic of the Congo"""	"city.n.01 Name ""Kinshasa"" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now capital.n.03 PartOf +1 country.n.02 Name ""Rwanda"" EQU +1 country.n.02 Name ""Democratic Republic of the Congo"""	"city.n.01 Name ""Kinshasa"" be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now town.n.01 CONTINUATION <1 person.n.01 EQU speaker mean.v.02 Theme -1 Agent -2 Time +1 Co-Theme +2 time.n.08 EQU now capital.n.03 PartOf +1 country.n.02 Name ""Democratic Repub"
