id	nl	mr	repair_head_sbn	repair_head_smatch	repair_mid_sbn	repair_mid_smatch	repair_tail_sbn	repair_tail_smatch	repair_interrug_sbn	repair_interrug_smatch	repair_head_nl	repair_mid_nl	repair_tail_nl
p90/d2399	I ran away from home when I was thirteen. 	person.n.01 EQU speaker run_away.v.01 Theme -1 Time +1 Source +2 time.n.08 TPR now home.n.01 person.n.01 EQU speaker time.n.08 TPR now old.a.01 AttributeOf -2 TIN -5 Time -1 Value +1 measure.n.02 Quantity 13 Unit +1 year.n.01									I ran away from home when I was thirteen.	I ran away from school, home when I was thirteen.	I ran away from school, home when I was thirteen.
p78/d2341	Tom flipped over the card and saw that it was the ace of spades. 	male.n.02 Name \"Tom\" flip_over.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now card.n.01 see.v.01 Proposition >1 Experiencer -4 Time +1 time.n.08 TPR now CONTINUATION <0 entity.n.01 ANA -3 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now ace.n.02 SubOf +1 spade.n.01									Jerry, Tom flipped over the card and saw that it was the ace of spades.	Tom flipped over the queen, the card and saw that it was the ace of spades.	Tom flipped over the card and saw that it was the ace of hearts, the ace of spades.
p80/d2136	As soon as Tom heard the phone, he answered it. 	male.n.02 Name \"Tom\" hear.v.01 Experiencer -1 Time +1 Stimulus +2 time.n.08 TPR now phone.n.01 CONTINUATION <1 male.n.02 ANA -4 answer.v.02 Agent -1 Time +1 Theme +2 time.n.08 TPR now entity.n.01 ANA -4									As far as, as soon as Tom heard the phone, he answered it.	As soon as Nick, Tom heard the phone, he answered it.	As soon as Tom heard the phone, he answered it, the door.
p87/d2198	All of a sudden, a fire broke out in the movie theater. 	all_of_a_sudden.r.02 fire.n.01 break_out.v.01 Manner -2 Theme -1 Time +1 Location +2 time.n.08 TPR now movie_theater.n.01									Gradually, all of a sudden, a fire broke out in the movie theater.	All of a sudden, a flood, a fire broke out in the movie theater.	All of a sudden, a fire broke out in the concert hall, the movie theater.
p90/d2068	Pochi and Moko are in the kennel, and other dogs are playing in the garden. 	animal.n.01 Name \"Pochi\" entity.n.01 Sub -1 Sub +1 animal.n.01 Name \"Moko\" be.v.03 Theme -2 Time +1 Location +2 time.n.08 EQU now kennel.n.01 CONTINUATION <1 dog.n.01 NEQ +1 dog.n.01 time.n.08 EQU now play.v.05 Agent -2 Time -1 Location +1 garden.n.03									Pochi and Tofu, Moko are in the kennel, and other dogs are playing in the garden.	Pochi and Moko are in the yard, the kennel, and other dogs are playing in the garden.	Pochi and Moko are in the kennel, and other dogs are playing in the yard, the garden.
p64/d2961	The mountains in the Himalayas are higher than those in the Andes. 	mountain.n.01 Location +1 range.n.04 Name \"Himalayas\" time.n.08 EQU now high.a.02 AttributeOf -3 Time -1 Degree +1 more.r.01 Theme -4 Co-Theme +1 mountain.n.01 Location +1 range.n.04 Name \"Andes\"									The lakes, the mountains in the Himalayas are higher than those in the Andes.	The mountains in the Alps, the Himalayas are higher than those in the Andes.	The mountains in the Himalayas are higher than those in the Alps, the Andes.
p67/d2005	Money and I are strangers; in other words, I am poor. 	money.n.01 entity.n.01 Sub -1 Sub +1 person.n.01 EQU speaker be.v.01 Theme -2 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 stranger.n.01 CONTINUATION <1 person.n.01 EQU speaker time.n.08 EQU now poor.a.02 AttributeOf -2 Time -1									Money and I are strangers; in other words, I am poor.	Money and I are lovers, strangers; in other words, I am poor.	Money and I are strangers; in other words, I am rich, poor.
p80/d2047	The guards found a hacksaw blade in the prisoner's pocket. 	person.n.01 Role +1 guard.n.01 find.v.02 Agent -2 Time +1 Theme +3 Location +6 time.n.08 TPR now hacksaw.n.01 blade.n.09 PartOf -1 person.n.01 Role +1 prisoner.n.01 pocket.n.01 User -2									The farmers, the guards found a hacksaw blade in the prisoner's pocket.	The guards found a screwdriver, a hacksaw blade in the prisoner's pocket.	The guards found a hacksaw blade in the prisoner's hand, pocket.
p89/d3526	I took my boots off because my feet were freezing. 	person.n.01 EQU speaker take_off.v.06 Agent -1 Time +1 Theme +3 time.n.08 TPR now person.n.01 EQU speaker boot.n.01 User -1 EXPLANATION <1 person.n.01 EQU speaker foot.n.01 PartOf -1 time.n.08 TPR now freeze.v.03 Patient -2 Time -1									She, I took my boots off because my feet were freezing.	I took my gloves, my boots off because my feet were freezing.	I took my boots off because my hands, my feet were freezing.
p19/d2950	That is the girl whose father is a doctor. 	entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now girl.n.01 person.n.01 Role +1 father.n.01 Of -2 be.v.08 Theme -2 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 doctor.n.01									This, that is the girl whose father is a doctor.	That is the woman, the girl whose father is a doctor.	That is the girl whose father is a lawyer, a doctor.
p31/d3277	Tom puts honey in his tea instead of sugar. 	male.n.02 Name \"Tom\" put.v.01 Agent -1 Time +1 Theme +2 Destination +4 time.n.08 EQU now honey.n.01 male.n.02 ANA -4 tea.n.01 Consumer -1 NEGATION <1 entity.n.01 EQU -5 Theme +1 sugar.n.01									Jason, Tom puts honey in his tea instead of sugar.	Tom puts jam, honey in his tea instead of sugar.	Tom puts honey in his tea instead of jam, sugar.
p01/d1585	Tom took a picture of his dog and sent it to Mary. 	male.n.02 Name \"Tom\" take.v.16 Agent -1 Time +1 Theme +2 time.n.08 TPR now picture.n.01 Topic +2 male.n.02 ANA -4 dog.n.01 Owner -1 send.v.03 Agent -6 Time +1 Theme +2 Destination +3 time.n.08 TPR now entity.n.01 ANA -5 female.n.02 Name \"Mary\"									Jerry, Tom took a picture of his dog and sent it to Mary.	Tom took a photo, a picture of his dog and sent it to Mary.	Tom took a picture of his cat, his dog and sent it to Mary.
p04/d0761	Procter and Gamble spends $1.8 billion for Research and Development.	company.n.01 Name \"Procter and Gamble\" spend.v.02 Agent -1 Time +1 Asset +2 Theme +4 time.n.08 EQU now dollar.n.01 Quantity +1 quantity.n.01 EQU 1800000000 research_and_development.n.01									Colgate, Procter and Gamble spends $1.8 billion for Research and Development.	Procter and Gamble spends $1.8 million, $1.8 billion for Research and Development.	Procter and Gamble spends $1.8 billion for Marketing, Research and Development.
p50/d1422	The trip was canceled because of a terrible storm. 	trip.n.01 time.n.08 TPR now cancel.v.01 Theme -2 Time -1 Causer +1 entity.n.01 EQU +2 terrible.a.03 AttributeOf +1 storm.n.01									The seminar, the trip was canceled because of a terrible storm.	The trip was postponed, canceled because of a terrible storm.	The trip was canceled because of a traffic jam, a terrible storm.
p93/d0874	Your eyes are as beautiful as the arms of the Venus de Milo. 	person.n.01 EQU hearer eye.n.01 PartOf -1 time.n.08 EQU now as.r.01 Theme -2 Co-Theme +2 beautiful.a.01 AttributeOf -3 Time -2 Degree -1 arm.n.01 PartOf +1 sculpture.n.01 Name \"Venus de Milo\"									Your nose, your eyes are as beautiful as the arms of the Venus de Milo.	Your eyes are as beautiful as the legs, the arms of the Venus de Milo.	Your eyes are as beautiful as the legs, the arms of the Venus de Milo.
p00/d2320	My friend invited me to dinner at the restaurant. 	person.n.01 EQU speaker person.n.01 Role +1 friend.n.01 Of -2 invite.v.05 Agent -2 Time +1 Beneficiary +2 Theme +3 time.n.08 TPR now person.n.01 EQU speaker dinner.n.02 Location +1 restaurant.n.01									Her, my friend invited me to dinner at the restaurant.	My friend invited me to breakfast, dinner at the restaurant.	My friend invited me to dinner at the café, the restaurant.
p56/d2506	Tom arrived at the gate and rang the bell. 	male.n.02 Name \"Tom\" arrive.v.01 Theme -1 Time +1 Destination +2 time.n.08 TPR now gate.n.01 ring.v.03 Agent -4 Time +1 Theme +2 time.n.08 TPR now bell.n.02									John, Tom arrived at the gate and rang the bell.	Tom arrived at the door, the gate and rang the bell.	Tom arrived at the gate and rang the door, the bell.
p06/d2364	She answers us whenever we ask her a question. 	female.n.02 answer.v.01 Agent -1 Time +1 Beneficiary +2 time.n.08 EQU now person.n.01 Sub speaker CONTINUATION <1 person.n.01 Sub speaker ask.v.01 Agent -1 Time +1 Recipient +2 Topic +3 time.n.08 EQU now female.n.02 ANA -7 question.n.01									He, she answers us whenever we ask her a question.	She answers us whenever he, we ask her a question.	She answers us whenever we ask her a riddle, a question.
p00/d3233	The doctor told Tom that he should eat a lot of vegetables. 	person.n.01 Role +1 doctor.n.01 tell.v.02 Proposition >1 Agent -2 Time +1 Recipient +2 time.n.08 TPR now male.n.02 Name \"Tom\" CONTINUATION <0 male.n.02 ANA -1 NECESSITY <1 eat.v.01 Agent -1 Patient +1 entity.n.01 Quantity + EQU +1 vegetable.n.01									The nurse, the doctor told Tom that he should eat a lot of vegetables.	The doctor told Jerry, Tom that he should eat a lot of vegetables.	The doctor told Tom that he should eat a lot of fruits, vegetables.
p50/d2610	There was a beautiful woman with black hair in the park. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +3 Location +6 time.n.08 TPR now beautiful.a.01 AttributeOf +1 woman.n.01 Part +2 black.a.01 hair.n.01 Colour -1 park.n.02									Here, there was a beautiful woman with black hair in the park.	There was a beautiful man, a woman with black hair in the park.	There was a beautiful woman with black hair in the garden, the park.
p27/d3438	How many neurons are there in this human brain? 	neuron.n.01 Quantity ? be.v.03 Theme -1 Time +1 EQU +2 Location +3 time.n.08 EQU now entity.n.01 location.n.01 STI +2 human.n.01 brain.n.01 PartOf -1									How few, many neurons are there in this human brain?	How many glial cells, neurons are there in this human brain?	How many neurons are there in this computer chip, this human brain?
p00/d0317	Padalecki was born in San Antonio, Texas, to Gerald and Sherri Padalecki. [1] [2] 	male.n.02 Name \"Padalecki\" time.n.08 TPR now bear.v.02 Patient -2 Time -1 Location +1 Recipient +4 city.n.01 Name \"San Antonio\" PartOf +1 state.n.01 Name \"Texas\" male.n.02 Name \"gerald padalecki\" entity.n.01 Sub -1 Sub +1 female.n.02 Name \"Sherri Padalecki\"									Padalecki was found, was born in San Antonio, Texas, to Gerald and Sherri Padalecki. [1] [2]	Padalecki was born in Dallas, San Antonio, Texas, to Gerald and Sherri Padalecki. [1] [2]	Padalecki was born in San Antonio, Texas, to Gerald and Sherri Padalecki. San Francisco, San Antonio, Texas, to Gerald and Sherri Padalecki. [1] [2]
p70/d1872	Tom has been sitting on the riverbank for hours. 	male.n.02 Name \"Tom\" time.n.08 TPR now sit.v.01 Theme -2 Time -1 Location +1 Duration +2 riverbank.n.01 hour.n.01									Jerry, Tom has been sitting on the riverbank for hours.	Tom has been sitting on the lakeshore, the riverbank for hours.	Tom has been sitting on the lakeside, the riverbank for hours.
p97/d1395	How many rooms does the Las Vegas MGM Grand Hotel have? 	room.n.01 Quantity ? time.n.08 EQU now city.n.01 Name \"Las Vegas\" facility.n.01 Name \"MGM Grand Hotel\" Location -1 have.v.02 Theme -4 Time -3 Pivot -1									How less, many rooms does the Las Vegas MGM Grand Hotel have?	How many rooms does the Las Vegas Bellagio, the MGM Grand Hotel have?	\"How many rooms does the Las Vegas MGM Grand Hotel have, own?\"
p41/d2557	I was born on the twenty second of November, nineteen forty eight. 	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 EQU +2 time.n.08 MonthOfYear 11 EQU -1 time.n.08 YearOfCentury 1948									The twenty first, the twenty second of November, nineteen forty eight.	I was born on the twelfth, the twenty second of November, nineteen forty eight.	I was born on the twenty third, the twenty second of November, nineteen forty eight.
p41/d1861	I ran into a friend of mine on the bus. 	person.n.01 EQU speaker run_into.v.04 Agent -1 Time +1 Co-Agent +2 Location +5 time.n.08 TPR now person.n.01 Role +1 friend.n.01 Of +1 person.n.01 EQU speaker bus.n.01									I ran over, ran into a friend of mine on the bus.	I ran into a neighbor, a friend of mine on the bus.	I ran into a friend of mine on the train, the bus.
p01/d1777	He left the bedroom and entered the living room. 	male.n.02 leave.v.01 Theme -1 Time +1 Source +2 time.n.08 TPR now bedroom.n.01 enter.v.01 Theme -4 Time +1 Destination +2 time.n.08 TPR now living_room.n.01									He entered, left the bedroom and entered the living room.	He left the kitchen, the bedroom and entered the living room.	He left the bedroom and entered the kitchen, the living room.
p42/d1518	I was born on the twenty-second of June in 1974. 	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 time.n.08 MonthOfYear 6 EQU -1 time.n.08 YearOfCentury 1974 EQU -1									My mom, I was born on the twenty-second of June in 1974.	I was born on the twenty-first, the twenty-second of June in 1974.	I was born on the twenty-second of June in 1973, 1974.
p73/d2775	She chatted with her friends about the baseball game. 	female.n.02 chat.v.01 Agent -1 Time +1 Co-Agent +3 Topic +5 time.n.08 TPR now female.n.02 ANA -3 person.n.01 Role +1 friend.n.01 Of -2 baseball_game.n.01									He, she chatted with her friends about the baseball game.	She chatted with her coworkers, her friends about the baseball game.	She chatted with her friends about the basketball game, the baseball game.
p11/d3265	This stone is beautiful. Where did you find it? 	stone.n.01 time.n.08 EQU now beautiful.a.01 AttributeOf -2 Time -1 CONTINUATION <1 location.n.01 Name ? time.n.08 TPR now person.n.01 EQU hearer find.v.01 Location -3 Time -2 Agent -1 Theme +1 entity.n.01 ANA -7									This coral, stone is beautiful. Where did you find it? 	This stone is ugly, beautiful. Where did you find it?	This stone is beautiful. Where did you find it in the garden, in the river?
p40/d1481	Besides being a surgeon, he was a famous writer. 	be.v.08 Co-Theme +1 Theme +3 person.n.01 Role +1 surgeon.n.01 male.n.02 be.v.08 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now famous.a.01 AttributeOf +2 person.n.01 Role +1 writer.n.01									Except, besides being a surgeon, he was a famous writer.	Besides being a painter, a surgeon, he was a famous writer.	Besides being a surgeon, he was a famous painter, a writer.
p78/d3210	The Japanese attacked Pearl Harbor on December 7, 1941. 	person.n.01 Source +1 country.n.02 Name \"japan\" attack.v.01 Agent -2 Time +1 Patient +2 Time +4 time.n.08 TPR now seaport.n.01 Name \"Pearl Harbor\" time.n.08 MonthOfYear 12 EQU +1 time.n.08 DayOfMonth 7 EQU +1 time.n.08 YearOfCentury 1941									The Germans, the Japanese attacked Pearl Harbor on December 7, 1941.	The Japanese bombed, attacked Pearl Harbor on December 7, 1941.	The Japanese attacked Pearl Harbor on December 8, 1941, December 7, 1941.
p02/d1144	Machine guns were mounted on window-sills, rifles stacked between the mattresses. 	machine_gun.n.01 time.n.08 TPR now mount.v.01 Theme -2 Time -1 Location +1 windowsill.n.01 CONTINUATION <1 rifle.n.01 stack.v.02 Theme -1 Time +1 Location +2 time.n.08 TPR now location.n.01 SY2 +1 mattress.n.01									Blades, machine guns were mounted on window-sills, rifles stacked between the mattresses.	Machine guns were mounted on rooftops, window-sills, rifles stacked between the mattresses.	Machine guns were mounted on window-sills, rifles stacked between the pillows, the mattresses.
p28/d3463	Tom made himself a peanut butter and jelly sandwich. 	male.n.02 Name \"Tom\" make.v.03 Agent -1 Time +1 Beneficiary +2 Result +5 time.n.08 TPR now male.n.02 ANA -3 peanut_butter.n.01 jelly.n.02 sandwich.n.01 Part -2 Part -1									Kevin, Tom made himself a peanut butter and jelly sandwich.	Tom made himself a ham, peanut butter and jelly sandwich.	Tom made himself a peanut butter and jelly sandwich, a ham and cheese sandwich.
p80/d1692	An actress fainted right in the middle of the play. 	person.n.01 Role +1 actress.n.01 faint.v.01 Patient -2 Time +1 Context +2 time.n.08 TPR now middle.n.04 PartOf +1 play.n.02									An actress from the audience, an actress fainted right in the middle of the play.	An actress fainted right in the garden, the middle of the play.	An actress fainted right in the middle of the movie, the play.
p30/d0016	A man is filling a container made of plastic 	man.n.01 time.n.08 EQU now fill.v.01 Agent -2 Time -1 Destination +1 container.n.01 make.v.06 Product -1 Material +1 plastic.n.01									A box, a man is filling a container made of plastic	A man is filling a bottle, a container made of plastic	A man is filling a container made of glass, plastic.
p14/d1811	Tom, Mary and John were playing tag on the playground. 	male.n.02 Name \"Tom\" female.n.02 Name \"Mary\" entity.n.01 Sub -2 Sub -1 Sub +1 male.n.02 Name \"John\" time.n.08 TPR now play.v.01 Agent -3 Time -1 Theme +1 tag.n.04 Location +1 playground.n.02									John, Tom, Mary and John were playing tag on the playground.	Tom, Mary and John were playing hide and seek, tag on the playground.	Tom, Mary and John were playing tag on the soccer field, the playground.
p12/d2112	If I don't have a bow, I can't play the violin. 	person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now have.v.01 Pivot -2 Time -1 Theme +1 bow.n.02 CONSEQUENCE <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 play.v.07 Agent -1 Theme +1 violin.n.01									If my son, I don't have a bow, I can't play the violin.	If I don't have a bat, a bow, I can't play the violin.	If I don't have a bow, I can't play the flute, the violin.
p49/d3111	I hear that Bob and Lucy have broken up. 	person.n.01 EQU speaker hear.v.02 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 male.n.02 Name \"Bob\" entity.n.01 Sub -1 Sub +1 female.n.02 Name \"Lucy\" break_up.v.02 Patient -2 Time +1 time.n.08 TPR now									I sense, I hear that Bob and Lucy have broken up.	I hear that Alice, Bob and Lucy have broken up.	I hear that Bob and Lucy have broken up, separated.
p27/d2907	Kinshasa is the capital of Democratic Republic of the Congo. 	city.n.01 Name \"Kinshasa\" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now national_capital.n.01 PartOf +1 country.n.02 Name \"Democratic Republic of the Congo\"									Bukavu, Kinshasa is the capital of Democratic Republic of the Congo.	Kinshasa is a town, the capital of the Democratic Republic of the Congo.	Kinshasa is the capital of Rwanda, the Democratic Republic of the Congo.
p83/d1705	The hostages starved because they were deprived of food. 	person.n.01 Role +1 hostage.n.01 starve.v.02 Patient -2 Time +1 time.n.08 TPR now EXPLANATION <1 person.n.01 EQU -4 time.n.08 TPR now deprive.v.02 Source -2 Time -1 Time +1 Theme +2 time.n.08 TPR now food.n.02									The prisoners, the hostages starved because they were deprived of food.	The hostages survived, starved because they were deprived of food.	The hostages starved because they were deprived of water, food.
p18/d1708	The restaurant billed me 250,000 yen for the party. 	restaurant.n.01 bill.v.01 Agent -1 Time +1 Recipient +2 Asset +4 Theme +5 time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 250000 yen.n.02 Quantity -1 party.n.04									The banquet hall, the restaurant billed me 250,000 yen for the party.	The restaurant billed me 150,000, 250,000 yen for the party.	The restaurant billed me 250,000 yen for the concert, the party.
p17/d1818	I bought a VCR at that store for a low price. 	person.n.01 EQU speaker buy.v.01 Agent -1 Time +1 Theme +2 Source +3 Asset +5 time.n.08 TPR now vcr.n.01 store.n.01 low.a.01 Value + price.n.02 Attribute -1									My cousin, I bought a VCR at that store for a low price.	I bought a DVD player, a VCR at that store for a low price.	I bought a VCR at that store for a high price, a low price.
p71/d2285	Tom didn't realize he had his sweater on inside out. 	male.n.02 Name \"Tom\" NEGATION <1 time.n.08 TPR now realize.v.01 Time -1 Proposition >1 Experiencer -2 CONTINUATION <0 male.n.02 ANA -3 have_on.v.01 Agent -1 Time +1 Theme +3 Manner +4 time.n.08 TPR now male.n.02 ANA -6 sweater.n.01 User -1 inside_out.r.01									Jerry, Tom didn't realize he had his sweater on inside out.	Tom didn't realize he had his shirt, his sweater on inside out.	Tom didn't realize he had his shirt, his sweater on inside out.
p71/d0885	The U.S. government has three branches: the executive, the legislative, and the judicial. 	country.n.02 Name \"us\" government.n.01 Location -1 have.v.02 Pivot -1 Time +1 Theme +8 time.n.08 EQU now quantity.n.01 EQU 3 branch.n.01 Quantity -1 EQU +5 executive.a.01 AttributeOf +1 entity.n.01 legislative.a.01 AttributeOf +1 entity.n.01 entity.n.01 Sub -3 Sub -1 Sub +2 judicial.a.01 AttributeOf +1 entity.n.01									The U.K. government, the U.S. government has three branches: the executive, the legislative, and the judicial.	The U.S. government has the legislative, the executive, and the judicial.	The U.S. government has three branches: the executive, the legislative, and the judicial, the judiciary.
p86/d1591	I am hungry because I did not eat lunch. 	person.n.01 EQU speaker time.n.08 EQU now hungry.a.01 Experiencer -2 Time -1 EXPLANATION <1 person.n.01 EQU speaker NEGATION <1 time.n.08 TPR now eat.v.01 Agent -2 Time -1 Patient +1 lunch.n.01									I am full, hungry because I did not eat lunch.	I am full, hungry because I did not eat lunch.	I am hungry because I did not eat dinner, lunch.
p39/d1721	Tom rolled over and snoozed for another 15 minutes. 	male.n.02 Name \"Tom\" roll_over.v.01 Agent -1 Time +1 time.n.08 TPR now snooze.v.01 Agent -3 Duration +4 minute.n.01 Quantity +1 NEQ +3 quantity.n.01 EQU 15 quantity.n.01 EQU 15 minute.n.01 Quantity -1									Tim, Tom rolled over and snoozed for another 15 minutes.	Tom rolled over and twitched, snoozed for another 15 minutes.	Tom rolled over and snoozed for another 10, 15 minutes.
p90/d2729	The little girl, deeply moved by the old man's pitiful story, burst into tears. 	little.a.03 AttributeOf +1 girl.n.01 entity.n.01 EQU -1 deeply.r.01 move.v.09 Experiencer -2 Degree -1 Stimulus +4 old.a.01 Value + man.n.01 Attribute -1 pitiful.a.03 AttributeOf +1 story.n.01 Creator -2 burst.v.02 Source -8 Time +1 Theme +2 time.n.08 TPR now tear.n.01									The old man, the little girl, deeply moved by the old man's pitiful story, burst into tears.	The little girl, deeply moved by the young woman's, the old man's pitiful story, burst into tears.	The little girl, deeply moved by the old man's amusing story, his pitiful story.
p80/d2637	It took me a couple of hours to solve this problem. 	time.n.08 TPR now person.n.01 EQU speaker couple.n.03 entity.n.01 Sub -1 Sub +1 hour.n.01 solve.v.01 Time -5 Agent -4 Duration -2 Theme +1 problem.n.02									It wasted, took me a couple of hours to solve this problem.	It took me a few, a couple of hours to solve this problem.	It took me a couple of days, hours to solve this problem.
p81/d2628	Tom grabbed the rope that was lowered from the helicopter. 	male.n.02 Name \"Tom\" grab.v.03 Agent -1 Time +1 Theme +2 time.n.08 TPR now rope.n.01 time.n.08 TPR now lower.v.01 Theme -2 Time -1 Source +1 helicopter.n.01									Jerry, Tom grabbed the rope that was lowered from the helicopter.	Tom grabbed the ladder, the rope that was lowered from the helicopter.	Tom grabbed the ladder, the rope that was lowered from the helicopter.
p50/d1728	A fire broke out in the middle of the city. 	fire.n.01 break_out.v.01 Theme -1 Time +1 Location +2 time.n.08 TPR now middle.n.01 PartOf +1 city.n.01									A flood, a fire broke out in the middle of the city.	A fire broke out in the park, the middle of the city.	A fire broke out in the middle of the countryside, the city.
p01/d1880	Two small rabbits, a white rabbit and a black rabbit, lived in a large forest. 	quantity.n.01 EQU 2 small.a.01 Value + rabbit.n.01 Quantity -2 Attribute -1 EQU +3 white.a.01 rabbit.n.01 Colour -1 entity.n.01 Sub -1 Sub +2 black.a.01 rabbit.n.01 Colour -1 live.v.01 Theme -6 Time +1 Location +3 time.n.08 TPR now large.a.01 Value + forest.n.02 Attribute -1									A large bear, two small rabbits, a white rabbit and a black rabbit, lived in a large forest.	Two small squirrels, a white rabbit and a black rabbit, lived in a large forest.	Two small rabbits, a white rabbit and a black rabbit, lived in a small village, a large forest.
