<built-in function id>	nl	mr	repair_head_nl	repair_head_sbn	repair_head_smatch	repair_mid_nl	repair_mid_sbn	repair_mid_smatch	repair_tail_nl	repair_tail_sbn	repair_tail_smatch	repair_interrug_nl	repair_interrug_sbn	repair_interrug_smatch
p89/d3526	I took my boots off because my feet were freezing. 	person.n.01 EQU speaker take_off.v.06 Agent -1 Time +1 Theme +3 time.n.08 TPR now person.n.01 EQU speaker boot.n.01 User -1 EXPLANATION <1 person.n.01 EQU speaker foot.n.01 PartOf -1 time.n.08 TPR now freeze.v.03 Patient -2 Time -1												
p19/d2950	That is the girl whose father is a doctor. 	entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now girl.n.01 person.n.01 Role +1 father.n.01 Of -2 be.v.08 Theme -2 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 doctor.n.01												
p31/d3277	Tom puts honey in his tea instead of sugar. 	"male.n.02 Name ""Tom"" put.v.01 Agent -1 Time +1 Theme +2 Destination +4 time.n.08 EQU now honey.n.01 male.n.02 ANA -4 tea.n.01 Consumer -1 NEGATION <1 entity.n.01 EQU -5 Theme +1 sugar.n.01"												
p01/d1585	Tom took a picture of his dog and sent it to Mary. 	"male.n.02 Name ""Tom"" take.v.16 Agent -1 Time +1 Theme +2 time.n.08 TPR now picture.n.01 Topic +2 male.n.02 ANA -4 dog.n.01 Owner -1 send.v.03 Agent -6 Time +1 Theme +2 Destination +3 time.n.08 TPR now entity.n.01 ANA -5 female.n.02 Name ""Mary"""												
p04/d0761	Procter and Gamble spends $1.8 billion for Research and Development.	"company.n.01 Name ""Procter and Gamble"" spend.v.02 Agent -1 Time +1 Asset +2 Theme +4 time.n.08 EQU now dollar.n.01 Quantity +1 quantity.n.01 EQU 1800000000 research_and_development.n.01"												
p50/d1422	The trip was canceled because of a terrible storm. 	trip.n.01 time.n.08 TPR now cancel.v.01 Theme -2 Time -1 Causer +1 entity.n.01 EQU +2 terrible.a.03 AttributeOf +1 storm.n.01												
p93/d0874	Your eyes are as beautiful as the arms of the Venus de Milo. 	"person.n.01 EQU hearer eye.n.01 PartOf -1 time.n.08 EQU now as.r.01 Theme -2 Co-Theme +2 beautiful.a.01 AttributeOf -3 Time -2 Degree -1 arm.n.01 PartOf +1 sculpture.n.01 Name ""Venus de Milo"""												
p00/d2320	My friend invited me to dinner at the restaurant. 	person.n.01 EQU speaker person.n.01 Role +1 friend.n.01 Of -2 invite.v.05 Agent -2 Time +1 Beneficiary +2 Theme +3 time.n.08 TPR now person.n.01 EQU speaker dinner.n.02 Location +1 restaurant.n.01												
p56/d2506	Tom arrived at the gate and rang the bell. 	"male.n.02 Name ""Tom"" arrive.v.01 Theme -1 Time +1 Destination +2 time.n.08 TPR now gate.n.01 ring.v.03 Agent -4 Time +1 Theme +2 time.n.08 TPR now bell.n.02"												
p06/d2364	She answers us whenever we ask her a question. 	female.n.02 answer.v.01 Agent -1 Time +1 Beneficiary +2 time.n.08 EQU now person.n.01 Sub speaker CONTINUATION <1 person.n.01 Sub speaker ask.v.01 Agent -1 Time +1 Recipient +2 Topic +3 time.n.08 EQU now female.n.02 ANA -7 question.n.01												
p00/d3233	The doctor told Tom that he should eat a lot of vegetables. 	"person.n.01 Role +1 doctor.n.01 tell.v.02 Proposition >1 Agent -2 Time +1 Recipient +2 time.n.08 TPR now male.n.02 Name ""Tom"" CONTINUATION <0 male.n.02 ANA -1 NECESSITY <1 eat.v.01 Agent -1 Patient +1 entity.n.01 Quantity + EQU +1 vegetable.n.01"												
p50/d2610	There was a beautiful woman with black hair in the park. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +3 Location +6 time.n.08 TPR now beautiful.a.01 AttributeOf +1 woman.n.01 Part +2 black.a.01 hair.n.01 Colour -1 park.n.02												
p27/d3438	How many neurons are there in this human brain? 	neuron.n.01 Quantity ? be.v.03 Theme -1 Time +1 EQU +2 Location +3 time.n.08 EQU now entity.n.01 location.n.01 STI +2 human.n.01 brain.n.01 PartOf -1												
p00/d0317	Padalecki was born in San Antonio, Texas, to Gerald and Sherri Padalecki. [1] [2] 	"male.n.02 Name ""Padalecki"" time.n.08 TPR now bear.v.02 Patient -2 Time -1 Location +1 Recipient +4 city.n.01 Name ""San Antonio"" PartOf +1 state.n.01 Name ""Texas"" male.n.02 Name ""gerald padalecki"" entity.n.01 Sub -1 Sub +1 female.n.02 Name ""Sherri Padalecki"""												
p70/d1872	Tom has been sitting on the riverbank for hours. 	"male.n.02 Name ""Tom"" time.n.08 TPR now sit.v.01 Theme -2 Time -1 Location +1 Duration +2 riverbank.n.01 hour.n.01"												
p97/d1395	How many rooms does the Las Vegas MGM Grand Hotel have? 	"room.n.01 Quantity ? time.n.08 EQU now city.n.01 Name ""Las Vegas"" facility.n.01 Name ""MGM Grand Hotel"" Location -1 have.v.02 Theme -4 Time -3 Pivot -1"												
p41/d2557	I was born on the twenty second of November, nineteen forty eight. 	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 EQU +2 time.n.08 MonthOfYear 11 EQU -1 time.n.08 YearOfCentury 1948												
p41/d1861	I ran into a friend of mine on the bus. 	person.n.01 EQU speaker run_into.v.04 Agent -1 Time +1 Co-Agent +2 Location +5 time.n.08 TPR now person.n.01 Role +1 friend.n.01 Of +1 person.n.01 EQU speaker bus.n.01												
p01/d1777	He left the bedroom and entered the living room. 	male.n.02 leave.v.01 Theme -1 Time +1 Source +2 time.n.08 TPR now bedroom.n.01 enter.v.01 Theme -4 Time +1 Destination +2 time.n.08 TPR now living_room.n.01												
p42/d1518	I was born on the twenty-second of June in 1974. 	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 22 time.n.08 MonthOfYear 6 EQU -1 time.n.08 YearOfCentury 1974 EQU -1												
p73/d2775	She chatted with her friends about the baseball game. 	female.n.02 chat.v.01 Agent -1 Time +1 Co-Agent +3 Topic +5 time.n.08 TPR now female.n.02 ANA -3 person.n.01 Role +1 friend.n.01 Of -2 baseball_game.n.01												
p11/d3265	This stone is beautiful. Where did you find it? 	stone.n.01 time.n.08 EQU now beautiful.a.01 AttributeOf -2 Time -1 CONTINUATION <1 location.n.01 Name ? time.n.08 TPR now person.n.01 EQU hearer find.v.01 Location -3 Time -2 Agent -1 Theme +1 entity.n.01 ANA -7												
p40/d1481	Besides being a surgeon, he was a famous writer. 	be.v.08 Co-Theme +1 Theme +3 person.n.01 Role +1 surgeon.n.01 male.n.02 be.v.08 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now famous.a.01 AttributeOf +2 person.n.01 Role +1 writer.n.01												
p78/d3210	The Japanese attacked Pearl Harbor on December 7, 1941. 	"person.n.01 Source +1 country.n.02 Name ""japan"" attack.v.01 Agent -2 Time +1 Patient +2 Time +4 time.n.08 TPR now seaport.n.01 Name ""Pearl Harbor"" time.n.08 MonthOfYear 12 EQU +1 time.n.08 DayOfMonth 7 EQU +1 time.n.08 YearOfCentury 1941"												
p02/d1144	Machine guns were mounted on window-sills, rifles stacked between the mattresses. 	machine_gun.n.01 time.n.08 TPR now mount.v.01 Theme -2 Time -1 Location +1 windowsill.n.01 CONTINUATION <1 rifle.n.01 stack.v.02 Theme -1 Time +1 Location +2 time.n.08 TPR now location.n.01 SY2 +1 mattress.n.01												
p28/d3463	Tom made himself a peanut butter and jelly sandwich. 	"male.n.02 Name ""Tom"" make.v.03 Agent -1 Time +1 Beneficiary +2 Result +5 time.n.08 TPR now male.n.02 ANA -3 peanut_butter.n.01 jelly.n.02 sandwich.n.01 Part -2 Part -1"												
p80/d1692	An actress fainted right in the middle of the play. 	person.n.01 Role +1 actress.n.01 faint.v.01 Patient -2 Time +1 Context +2 time.n.08 TPR now middle.n.04 PartOf +1 play.n.02												
p30/d0016	A man is filling a container made of plastic 	man.n.01 time.n.08 EQU now fill.v.01 Agent -2 Time -1 Destination +1 container.n.01 make.v.06 Product -1 Material +1 plastic.n.01												
p14/d1811	Tom, Mary and John were playing tag on the playground. 	"male.n.02 Name ""Tom"" female.n.02 Name ""Mary"" entity.n.01 Sub -2 Sub -1 Sub +1 male.n.02 Name ""John"" time.n.08 TPR now play.v.01 Agent -3 Time -1 Theme +1 tag.n.04 Location +1 playground.n.02"												
p12/d2112	If I don't have a bow, I can't play the violin. 	person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now have.v.01 Pivot -2 Time -1 Theme +1 bow.n.02 CONSEQUENCE <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 play.v.07 Agent -1 Theme +1 violin.n.01												
p49/d3111	I hear that Bob and Lucy have broken up. 	"person.n.01 EQU speaker hear.v.02 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 male.n.02 Name ""Bob"" entity.n.01 Sub -1 Sub +1 female.n.02 Name ""Lucy"" break_up.v.02 Patient -2 Time +1 time.n.08 TPR now"												
p27/d2907	Kinshasa is the capital of Democratic Republic of the Congo. 	"city.n.01 Name ""Kinshasa"" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now national_capital.n.01 PartOf +1 country.n.02 Name ""Democratic Republic of the Congo"""												
p83/d1705	The hostages starved because they were deprived of food. 	person.n.01 Role +1 hostage.n.01 starve.v.02 Patient -2 Time +1 time.n.08 TPR now EXPLANATION <1 person.n.01 EQU -4 time.n.08 TPR now deprive.v.02 Source -2 Time -1 Time +1 Theme +2 time.n.08 TPR now food.n.02												
p18/d1708	The restaurant billed me 250,000 yen for the party. 	restaurant.n.01 bill.v.01 Agent -1 Time +1 Recipient +2 Asset +4 Theme +5 time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 250000 yen.n.02 Quantity -1 party.n.04												
p17/d1818	I bought a VCR at that store for a low price. 	person.n.01 EQU speaker buy.v.01 Agent -1 Time +1 Theme +2 Source +3 Asset +5 time.n.08 TPR now vcr.n.01 store.n.01 low.a.01 Value + price.n.02 Attribute -1												
p71/d2285	Tom didn't realize he had his sweater on inside out. 	"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 TPR now realize.v.01 Time -1 Proposition >1 Experiencer -2 CONTINUATION <0 male.n.02 ANA -3 have_on.v.01 Agent -1 Time +1 Theme +3 Manner +4 time.n.08 TPR now male.n.02 ANA -6 sweater.n.01 User -1 inside_out.r.01"												
p71/d0885	The U.S. government has three branches: the executive, the legislative, and the judicial. 	"country.n.02 Name ""us"" government.n.01 Location -1 have.v.02 Pivot -1 Time +1 Theme +8 time.n.08 EQU now quantity.n.01 EQU 3 branch.n.01 Quantity -1 EQU +5 executive.a.01 AttributeOf +1 entity.n.01 legislative.a.01 AttributeOf +1 entity.n.01 entity.n.01 Sub -3 Sub -1 Sub +2 judicial.a.01 AttributeOf +1 entity.n.01"												
p86/d1591	I am hungry because I did not eat lunch. 	person.n.01 EQU speaker time.n.08 EQU now hungry.a.01 Experiencer -2 Time -1 EXPLANATION <1 person.n.01 EQU speaker NEGATION <1 time.n.08 TPR now eat.v.01 Agent -2 Time -1 Patient +1 lunch.n.01												
p39/d1721	Tom rolled over and snoozed for another 15 minutes. 	"male.n.02 Name ""Tom"" roll_over.v.01 Agent -1 Time +1 time.n.08 TPR now snooze.v.01 Agent -3 Duration +4 minute.n.01 Quantity +1 NEQ +3 quantity.n.01 EQU 15 quantity.n.01 EQU 15 minute.n.01 Quantity -1"												
p90/d2729	The little girl, deeply moved by the old man's pitiful story, burst into tears. 	little.a.03 AttributeOf +1 girl.n.01 entity.n.01 EQU -1 deeply.r.01 move.v.09 Experiencer -2 Degree -1 Stimulus +4 old.a.01 Value + man.n.01 Attribute -1 pitiful.a.03 AttributeOf +1 story.n.01 Creator -2 burst.v.02 Source -8 Time +1 Theme +2 time.n.08 TPR now tear.n.01												
p80/d2637	It took me a couple of hours to solve this problem. 	time.n.08 TPR now person.n.01 EQU speaker couple.n.03 entity.n.01 Sub -1 Sub +1 hour.n.01 solve.v.01 Time -5 Agent -4 Duration -2 Theme +1 problem.n.02												
p81/d2628	Tom grabbed the rope that was lowered from the helicopter. 	"male.n.02 Name ""Tom"" grab.v.03 Agent -1 Time +1 Theme +2 time.n.08 TPR now rope.n.01 time.n.08 TPR now lower.v.01 Theme -2 Time -1 Source +1 helicopter.n.01"												
p50/d1728	A fire broke out in the middle of the city. 	fire.n.01 break_out.v.01 Theme -1 Time +1 Location +2 time.n.08 TPR now middle.n.01 PartOf +1 city.n.01												
p01/d1880	Two small rabbits, a white rabbit and a black rabbit, lived in a large forest. 	quantity.n.01 EQU 2 small.a.01 Value + rabbit.n.01 Quantity -2 Attribute -1 EQU +3 white.a.01 rabbit.n.01 Colour -1 entity.n.01 Sub -1 Sub +2 black.a.01 rabbit.n.01 Colour -1 live.v.01 Theme -6 Time +1 Location +3 time.n.08 TPR now large.a.01 Value + forest.n.02 Attribute -1												
p01/d0867	I was born on 23 March 1969 in Barcelona. 	"person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +2 Location +4 time.n.08 DayOfMonth 23 EQU +1 time.n.08 MonthOfYear 3 EQU +1 time.n.08 YearOfCentury 1969 city.n.01 Name ""Barcelona"""												
p16/d2882	The cats are curious about the red dot on the wall. 	cat.n.01 time.n.08 EQU now curious.a.02 Experiencer -2 Time -1 Stimulus +2 red.a.01 dot.n.01 Colour -1 Location +1 wall.n.01												
p30/d0317	Their son, Thomas Colton Padalecki, was born on March 19, 2012. 	"person.n.01 person.n.01 Role +1 EQU +2 son.n.01 Of -2 male.n.02 Name ""Thomas Colton Padalecki"" time.n.08 TPR now bear.v.02 Patient -4 Time -1 Time +2 time.n.08 MonthOfYear 3 EQU +1 time.n.08 DayOfMonth 19 EQU +1 time.n.08 YearOfCentury 2012"												
p49/d2677	My neighbor is planting new grass in his yard. 	person.n.01 EQU speaker person.n.01 Role +1 neighbor.n.01 Of -2 time.n.08 EQU now plant.v.01 Agent -3 Time -1 Theme +2 Destination +4 new.a.01 AttributeOf +1 grass.n.01 male.n.02 ANA -6 yard.n.02 User -1												
p37/d1007	He came to Leipzig in 1981 from the small town of Aschersleben. 	"male.n.02 come.v.02 Theme -1 Time +1 Destination +2 Time +3 Source +5 time.n.08 TPR now city.n.01 Name ""Leipzig"" time.n.08 YearOfCentury 1981 small.a.01 Value + town.n.01 Attribute -1 EQU +1 town.n.01 Name ""Aschersleben"""												
p27/d1965	I like this song; it's got a strong beat and you can dance to it. 	person.n.01 EQU speaker like.v.02 Experiencer -1 Time +1 Stimulus +2 time.n.08 EQU now song.n.01 CONTINUATION <1 entity.n.01 ANA -1 have_got.v.01 Theme -1 Time +1 Pivot +3 time.n.08 EQU now strong.a.01 AttributeOf +1 beat.n.03 CONTINUATION <1 person.n.01 POSSIBILITY <1 dance.v.02 Agent -1 Theme +1 entity.n.01 ANA -8												
p39/d2847	Tom wasn't wearing a wedding ring, but Mary noticed a white circle on his ring finger. 	"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 TPR now wear.v.02 Agent -2 Time -1 Theme +1 wedding_ring.n.01 CONTRAST <1 female.n.02 Name ""Mary"" notice.v.01 Experiencer -1 Time +1 Stimulus +3 time.n.08 TPR now white.a.01 circle.n.03 Colour -1 Location +2 male.n.02 ANA -9 ring_finger.n.01 PartOf -1"												
p01/d0835	His older brother is two years older than I. 	male.n.02 old.a.01 Degree +1 more.r.01 person.n.01 Attribute -2 Role +1 brother.n.01 Of -4 time.n.08 EQU now quantity.n.01 EQU 2 year.n.01 Quantity -1 old.a.01 AttributeOf -5 Time -3 Degree +1 more.r.01 Theme -6 Value -2 Co-Theme +1 person.n.01 EQU speaker												
p20/d0026	A soccer ball is rolling into a goal net 	soccer_ball.n.01 time.n.08 EQU now roll.v.01 Theme -2 Time -1 Destination +1 location.n.01 STI +1 goal.n.03 net.n.04 EQU -1												
p64/d3510	It's the story of a boy, a girl, and a cat. 	entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now story.n.02 Topic +3 boy.n.01 girl.n.01 entity.n.01 Sub -2 Sub -1 Sub +1 cat.n.01												
p42/d1416	She is convinced that her son is still alive. 	female.n.02 time.n.08 EQU now convinced.a.02 Time -1 Proposition >1 Experiencer -2 CONTINUATION <0 female.n.02 ANA -3 person.n.01 Role +1 son.n.01 Of -2 time.n.08 EQU now alive.a.01 AttributeOf -3 Time -1												
p22/d3154	The back seat of the car will hold three passengers. 	backseat.n.02 PartOf +1 car.n.01 time.n.08 TSU now hold.v.12 Location -3 Time -1 Time +1 Value +3 time.n.08 EQU now quantity.n.01 EQU 3 person.n.01 Quantity -1 Role +1 passenger.n.01												
p82/d3379	He wrote a book about the American Civil War. 	"male.n.02 write.v.01 Agent -1 Time +1 Result +2 time.n.08 TPR now book.n.01 Topic +1 war.n.01 Name ""American Civil War"""												
p28/d2813	He was living in England when the war broke out. 	"male.n.02 time.n.08 TPR now live.v.01 Theme -2 Time -1 Location +1 country.n.02 Name ""England"" war.n.01 break_out.v.01 TIN -3 Theme -1 Time +1 time.n.08 TPR now"												
p25/d3505	It took me ten days to get over my cold. 	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 10 day.n.01 Quantity -1 get_over.v.03 Time -4 Agent -3 Duration -1 Theme +2 person.n.01 EQU speaker cold.n.01 User -1												
p65/d3136	He has two cats: one white and one black. 	male.n.02 have.v.01 Pivot -1 Time +1 Theme +3 time.n.08 EQU now quantity.n.01 EQU 2 cat.n.01 Quantity -1 EQU +4 quantity.n.01 EQU 1 white.a.01 entity.n.01 Quantity -2 Colour -1 entity.n.01 Sub -1 Sub +3 quantity.n.01 EQU 1 black.a.01 entity.n.01 Quantity -2 Colour -1												
p34/d3238	Tom used to be a long distance truck driver. 	"male.n.02 Name ""Tom"" time.n.08 TPR now be.v.08 Theme -2 Time -1 Co-Theme +3 long.a.01 Value + distance.n.01 person.n.01 Goal -2 Role +1 truck_driver.n.01 Theme -2"												
p90/d0181	We all caught flu, and so did the teacher. 	person.n.01 Sub speaker NEGATION <1 entity.n.01 SubOf -1 NEGATION <1 catch.v.19 Recipient -1 Time +1 Theme +2 time.n.08 TPR now flu.n.01 CONTINUATION <2 catch.v.19 Time +1 Recipient +2 Theme +3 time.n.08 TPR now person.n.01 Role +1 teacher.n.01 flu.n.01												
p50/d1584	This stone was so heavy that I could not lift it. 	stone.n.01 time.n.08 TPR now heavy.a.01 Time -1 Value + AttributeOf -2 RESULT <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 lift.v.01 Agent -1 Theme +1 entity.n.01 ANA -5												
p01/d1058	Both Cristina and Luis always dreamt of studying medicine. 	"entity.n.01 Quantity 2 EQU +2 female.n.02 Name ""Cristina"" entity.n.01 Sub -1 Sub +1 male.n.02 Name ""Luis"" NEGATION <1 time.n.08 TPR now NEGATION <1 dream.v.01 Experiencer -3 Time -1 Stimulus +2 entity.n.01 EQU -4 study.v.04 Agent -1 Theme +1 medicine.n.03"												
p95/d1491	Italy has two mountain ranges, the Alps and the Apennines. 	"country.n.02 Name ""Italy"" have.v.02 Pivot -1 Time +1 Theme +3 time.n.08 EQU now quantity.n.01 EQU 2 mountain_range.n.01 Quantity -1 EQU +2 range.n.04 Name ""Alps"" entity.n.01 Sub -1 Sub +1 range.n.04 Name ""Apennines"""												
p30/d2762	Tom started to walk away, but Mary stopped him. 	"male.n.02 Name ""Tom"" start.v.01 Time +1 PartOf +2 time.n.08 TPR now walk_away.v.01 Theme -3 CONTRAST <1 female.n.02 Name ""Mary"" stop.v.05 Agent -1 Time +1 Theme +2 time.n.08 TPR now male.n.02 ANA -7"												
p52/d1386	What did the Apollo astronauts wave on the moon in 1969? 	"entity.n.01 EQU ? time.n.08 TPR now vehicle.n.01 Name ""Apollo"" person.n.01 User -1 Role +1 astronaut.n.01 wave.v.02 Time -4 Theme -5 Agent -2 Time +1 Location +2 Time +3 time.n.08 TPR now moon.n.01 time.n.08 YearOfCentury 1969"												
p85/d2721	The man glanced at the news program and was shocked. 	man.n.01 glance.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now news_program.n.01 time.n.08 TPR now shocked.a.01 AttributeOf -5 Time -1												
p07/d0766	Some people in the village of Joba received loans from Yunus.	"person.n.01 Location +1 village.n.02 EQU +1 village.n.02 Name ""Joba"" receive.v.01 Agent -3 Time +1 Theme +2 Source +3 time.n.08 TPR now loan.n.01 male.n.02 Name ""Yunus"""												
p81/d2484	Tom has been to Boston a number of times. 	"male.n.02 Name ""Tom"" be.v.03 Theme -1 Time +1 Location +2 Frequency +3 time.n.08 TPR now city.n.01 Name ""Boston"" entity.n.01 Quantity + EQU +1 time.n.01"												
p67/d1730	This class consists of 15 boys and 28 girls. 	class.n.02 consist.v.04 Theme -1 Time +1 Attribute +4 time.n.08 EQU now quantity.n.01 EQU 15 boy.n.01 Quantity -1 entity.n.01 Sub -1 Sub +2 quantity.n.01 EQU 28 girl.n.02 Quantity -1												
p18/d1796	The Japan Sea separates Japan from the Asian Continent. 	"sea.n.01 Name ""Japan Sea"" separate.v.01 Causer -1 Time +1 Patient +2 Co-Patient +4 time.n.08 EQU now country.n.02 Name ""Japan"" continent.n.01 Name ""asia"" continent.n.01 EQU -1"												
p00/d1686	That story is a famous one that everyone knows. 	story.n.02 be.v.01 Theme -1 Time +1 Co-Theme +3 time.n.08 EQU now famous.a.01 AttributeOf +1 story.n.02 NEGATION <1 person.n.01 NEGATION <1 know.v.01 Stimulus -2 Experiencer -1 Time +1 time.n.08 EQU now												
