doc_id	nl_clean	nl_repair	sbn_clean	sbn_repair	repair_pos	reparandum_synset	repair_synset	reparandum_surface	interregnum	strategy	devices	dropped_roles	max_abs_index	separator_in_tail	inflection_confident
p48/d0795	Jim is not a lawyer but a doctor.	Jim is not a lawyer but a dentist, or rather, doctor.	"male.n.02 Name ""Jim"" NEGATION <1 be.v.08 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 lawyer.n.01 CONTRAST <1 be.v.08 Theme -5 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 doctor.n.01"	"male.n.02 Name ""Jim"" NEGATION <1 be.v.08 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 lawyer.n.01 CONTRAST <1 be.v.08 Theme -5 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 entity.n.01 CORRECTION <1 dentist.n.01 EQU -1 CONJUNCTION <2 % or rather doctor.n.01 EQU -2"	n	dentist.n.01	doctor.n.01	dentist	or rather	anchor	d5_anchor_dummy		5	0	1
p62/d3287	We added something new.	We added, sorry, added something new.	person.n.01 Sub speaker add.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now entity.n.01 Attribute +1 new.a.02	person.n.01 Sub speaker CORRECTION <1 add.v.06 Agent -1 CONJUNCTION <2 % sorry add.v.01 Agent -2 Time +1 Theme +2 time.n.08 TPR now entity.n.01 Attribute +1 new.a.02	v	add.v.06	add.v.01	added	sorry	inplace	d1_drop_role	Time|Theme	2	0	1
p62/d3287	We added something new.	We added something original, that is, new.	person.n.01 Sub speaker add.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now entity.n.01 Attribute +1 new.a.02	person.n.01 Sub speaker add.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now entity.n.01 CORRECTION <1 original.a.03 AttributeOf -1 CONJUNCTION <2 % that is new.a.02 AttributeOf -2	a	original.a.03	new.a.02	original	that is	inplace	d2_invert_role		2	0	1
p98/d2252	You never donate anything to anybody.	You never bequeath, donate anything to anybody.	person.n.01 EQU hearer NEGATION <1 donate.v.01 Agent -1 Time +1 Theme +2 Recipient +3 time.n.08 EQU now entity.n.01 person.n.01	person.n.01 EQU hearer NEGATION <1 CORRECTION <1 bequeath.v.01 Agent -1 CONJUNCTION <2 donate.v.01 Agent -2 Time +1 Theme +2 Recipient +3 time.n.08 EQU now entity.n.01 person.n.01	v	bequeath.v.01	donate.v.01	bequeath		inplace	d1_drop_role	Time|Theme|Recipient	3	0	1
p53/d3320	She's addicted to shopping.	She's unaddicted, that is, addicted to shopping.	female.n.02 time.n.08 EQU now addicted.a.01 Experiencer -2 Time -1 Stimulus +1 shop.v.01	female.n.02 time.n.08 EQU now CORRECTION <1 unaddicted.a.01 Experiencer -2 Time -1 CONJUNCTION <2 % that is addicted.a.01 Experiencer -3 Time -2 Stimulus +1 shop.v.01	a	unaddicted.a.01	addicted.a.01	unaddicted	that is	inplace	d1_drop_role	Stimulus	3	0	1
p05/d2617	He wrapped his arms around me.	He wrapped his crura, no wait, arms around me.	male.n.02 wrap.v.02 Agent -1 Time +1 Theme +3 Destination +4 time.n.08 TPR now male.n.02 ANA -3 arm.n.01 PartOf -1 location.n.01 SXY +1 person.n.01 EQU speaker	male.n.02 wrap.v.02 Agent -1 Time +1 Destination +5 time.n.08 TPR now male.n.02 ANA -3 CORRECTION <1 crus.n.01 PartOf -1 ThemeOf -3 CONJUNCTION <2 % no wait arm.n.01 PartOf -2 ThemeOf -4 location.n.01 SXY +1 person.n.01 EQU speaker	n	crus.n.01	arm.n.01	crura	no wait	inplace	d2_invert_role		5	0	1
p05/d2617	He wrapped his arms around me.	He putted, well, wrapped his arms around me.	male.n.02 wrap.v.02 Agent -1 Time +1 Theme +3 Destination +4 time.n.08 TPR now male.n.02 ANA -3 arm.n.01 PartOf -1 location.n.01 SXY +1 person.n.01 EQU speaker	male.n.02 CORRECTION <1 put.v.01 Agent -1 CONJUNCTION <2 % well wrap.v.02 Agent -2 Time +1 Theme +3 Destination +4 time.n.08 TPR now male.n.02 ANA -4 arm.n.01 PartOf -1 location.n.01 SXY +1 person.n.01 EQU speaker	v	put.v.01	wrap.v.02	putted	well	inplace	d1_drop_role	Time|Theme|Destination	4	0	1
p02/d1893	He was ashamed of his ignorance.	He was penitent, I mean to say, ashamed of his ignorance.	male.n.02 time.n.08 TPR now ashamed.a.01 Experiencer -2 Time -1 Stimulus +2 male.n.02 ANA -3 ignorance.n.01 Creator -1	male.n.02 time.n.08 TPR now CORRECTION <1 penitent.a.01 Experiencer -2 Time -1 CONJUNCTION <2 % I mean to say ashamed.a.01 Experiencer -3 Time -2 Stimulus +2 male.n.02 ANA -4 ignorance.n.01 Creator -1	a	penitent.a.01	ashamed.a.01	penitent	I mean to say	inplace	d1_drop_role	Stimulus	4	0	1
p02/d1893	He was ashamed of his ignorance.	He was ashamed of his representation, no wait, ignorance.	male.n.02 time.n.08 TPR now ashamed.a.01 Experiencer -2 Time -1 Stimulus +2 male.n.02 ANA -3 ignorance.n.01 Creator -1	male.n.02 time.n.08 TPR now ashamed.a.01 Experiencer -2 Time -1 Stimulus +3 male.n.02 ANA -3 CORRECTION <1 representation.n.01 Creator -1 CONJUNCTION <2 % no wait ignorance.n.01 Creator -2	n	representation.n.01	ignorance.n.01	representation	no wait	inplace	retarget_to_repair		3	0	1
p02/d1888	I was as cool as a cucumber.	I was as composed, that is, cool as a cucumber.	person.n.01 EQU speaker time.n.08 TPR now as.r.01 Theme -2 Co-Theme +2 cool.a.02 AttributeOf -3 Time -2 Degree -1 cucumber.n.02	person.n.01 EQU speaker time.n.08 TPR now as.r.01 Theme -2 Co-Theme +3 CORRECTION <1 composed.a.01 AttributeOf -3 Time -2 Degree -1 CONJUNCTION <2 % that is cool.a.02 AttributeOf -4 Time -3 Degree -2 cucumber.n.02	a	composed.a.01	cool.a.02	composed	that is	inplace			4	0	1
p02/d1888	I was as cool as a cucumber.	I was as cool as a greens, cucumber.	person.n.01 EQU speaker time.n.08 TPR now as.r.01 Theme -2 Co-Theme +2 cool.a.02 AttributeOf -3 Time -2 Degree -1 cucumber.n.02	person.n.01 EQU speaker time.n.08 TPR now as.r.01 Theme -2 cool.a.02 AttributeOf -3 Time -2 Degree -1 CORRECTION <1 greens.n.01 Co-ThemeOf -2 CONJUNCTION <2 cucumber.n.02 Co-ThemeOf -3	n	greens.n.01	cucumber.n.02	greens		inplace	d2_invert_role		3	0	1
p60/d2470	Tom put the thermometer under his arm.	Tom put the radar, no wait, thermometer under his arm.	"male.n.02 Name ""Tom"" put.v.01 Agent -1 Time +1 Theme +2 Destination +3 time.n.08 TPR now thermometer.n.01 location.n.01 SZN +2 male.n.02 ANA -5 arm.n.01 PartOf -1"	"male.n.02 Name ""Tom"" put.v.01 Agent -1 Time +1 Destination +4 time.n.08 TPR now CORRECTION <1 radar.n.01 ThemeOf -2 CONJUNCTION <2 % no wait thermometer.n.01 ThemeOf -3 location.n.01 SZN +2 male.n.02 ANA -6 arm.n.01 PartOf -1"	n	radar.n.01	thermometer.n.01	radar	no wait	inplace	d2_invert_role		6	0	1
p60/d2470	Tom put the thermometer under his arm.	Tom put the thermometer under his crus, I mean to say, arm.	"male.n.02 Name ""Tom"" put.v.01 Agent -1 Time +1 Theme +2 Destination +3 time.n.08 TPR now thermometer.n.01 location.n.01 SZN +2 male.n.02 ANA -5 arm.n.01 PartOf -1"	"male.n.02 Name ""Tom"" put.v.01 Agent -1 Time +1 Theme +2 Destination +3 time.n.08 TPR now thermometer.n.01 location.n.01 SZN +3 male.n.02 ANA -5 CORRECTION <1 crus.n.01 PartOf -1 CONJUNCTION <2 % I mean to say arm.n.01 PartOf -2"	n	crus.n.01	arm.n.01	crus	I mean to say	inplace	retarget_to_repair		5	0	1
p28/d3418	He ran five miles.	He ran, actually, ran five miles.	male.n.02 run.v.01 Theme -1 Time +1 Value +3 time.n.08 TPR now quantity.n.01 EQU 5 mile.n.01 Quantity -1	male.n.02 CORRECTION <1 run.v.29 Theme -1 CONJUNCTION <2 % actually run.v.01 Theme -2 Time +1 Value +3 time.n.08 TPR now quantity.n.01 EQU 5 mile.n.01 Quantity -1	v	run.v.29	run.v.01	ran	actually	inplace	d1_drop_role	Time|Value	3	0	1
p28/d3418	He ran five miles.	He ran five ens, no, miles.	male.n.02 run.v.01 Theme -1 Time +1 Value +3 time.n.08 TPR now quantity.n.01 EQU 5 mile.n.01 Quantity -1	male.n.02 run.v.01 Theme -1 Time +1 Value +4 time.n.08 TPR now quantity.n.01 EQU 5 CORRECTION <1 en.n.01 Quantity -1 CONJUNCTION <2 % no mile.n.01 Quantity -2	n	en.n.01	mile.n.01	ens	no	inplace	retarget_to_repair		4	0	1
p78/d3129	I flew from London to New York.	I flew, no, flew from London to New York.	"person.n.01 EQU speaker fly.v.01 Theme -1 Time +1 Source +2 Destination +3 time.n.08 TPR now city.n.01 Name ""London"" city.n.01 Name ""New York"""	"person.n.01 EQU speaker CORRECTION <1 fly.v.12 Theme -1 CONJUNCTION <2 % no fly.v.01 Theme -2 Time +1 Source +2 Destination +3 time.n.08 TPR now city.n.01 Name ""London"" city.n.01 Name ""New York"""	v	fly.v.12	fly.v.01	flew	no	inplace	d1_drop_role	Time|Source|Destination	3	0	1
p96/d1938	"""In"" is a preposition."	"""In"" is a pronoun, sorry, is a preposition."	"word.n.01 EQU ""In"" be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now preposition.n.01"	"word.n.01 EQU ""In"" be.v.01 Theme -1 Time +1 time.n.08 EQU now CORRECTION <1 pronoun.n.01 Co-ThemeOf -2 CONJUNCTION <2 % sorry preposition.n.01 Co-ThemeOf -3"	n	pronoun.n.01	preposition.n.01	pronoun	sorry	inplace	d2_invert_role		3	0	1
p17/d0758	Philip Morris said it sold 201 bn cigarettes world-wide during the quarter.	Philip Morris said it sold 201 bn cigarettes world-wide during the enlistment, during the quarter.	"company.n.01 Name ""Philip Morris"" say.v.02 Proposition >1 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <0 entity.n.01 ANA -3 sell.v.01 Agent -1 Time +1 Theme +3 Manner +4 Duration +5 time.n.08 TPR now quantity.n.01 EQU 201000000000 cigarette.n.01 Quantity -1 world-wide.a.01 quarter.n.06"	"company.n.01 Name ""Philip Morris"" say.v.02 Proposition >1 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <0 entity.n.01 ANA -3 sell.v.01 Agent -1 Time +1 Theme +3 Manner +4 Duration +5 time.n.08 TPR now quantity.n.01 EQU 201000000000 cigarette.n.01 Quantity -1 world-wide.a.01 entity.n.01 CORRECTION <1 enlistment.n.01 EQU -1 CONJUNCTION <2 quarter.n.06 EQU -2"	n	enlistment.n.01	quarter.n.06	enlistment		anchor	d5_anchor_dummy		5	0	1
p17/d0758	Philip Morris said it sold 201 bn cigarettes world-wide during the quarter.	Philip Morris predicated, no wait, said it sold 201 bn cigarettes world-wide during the quarter.	"company.n.01 Name ""Philip Morris"" say.v.02 Proposition >1 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <0 entity.n.01 ANA -3 sell.v.01 Agent -1 Time +1 Theme +3 Manner +4 Duration +5 time.n.08 TPR now quantity.n.01 EQU 201000000000 cigarette.n.01 Quantity -1 world-wide.a.01 quarter.n.06"	"company.n.01 Name ""Philip Morris"" CORRECTION <1 predicate.v.02 Proposition >2 Agent -1 CONJUNCTION <2 % no wait say.v.02 Proposition >1 Agent -2 Time +1 time.n.08 TPR now CONTINUATION <0 entity.n.01 ANA -4 sell.v.01 Agent -1 Time +1 Theme +3 Manner +4 Duration +5 time.n.08 TPR now quantity.n.01 EQU 201000000000 cigarette.n.01 Quantity -1 world-wide.a.01 quarter.n.06"	v	predicate.v.02	say.v.02	predicated	no wait	inplace	d1_drop_role	Time	5	1	1
p60/d1674	My house is on the south bank of the Thames.	My whorehouse, sorry, house is on the south bank of the Thames.	"person.n.01 EQU speaker house.n.01 User -1 be.v.03 Theme -1 Time +1 Location +3 time.n.08 EQU now south.a.01 Theme +1 bank.n.01 PartOf +1 river.n.01 Name ""Thames"""	"person.n.01 EQU speaker CORRECTION <1 whorehouse.n.01 User -1 CONJUNCTION <2 % sorry house.n.01 User -2 be.v.03 Theme -1 Time +1 Location +3 time.n.08 EQU now south.a.01 Theme +1 bank.n.01 PartOf +1 river.n.01 Name ""Thames"""	n	whorehouse.n.01	house.n.01	whorehouse	sorry	inplace	retarget_to_repair		3	0	1
p60/d1674	My house is on the south bank of the Thames.	My house is on the south ascent, in fact, bank of the Thames.	"person.n.01 EQU speaker house.n.01 User -1 be.v.03 Theme -1 Time +1 Location +3 time.n.08 EQU now south.a.01 Theme +1 bank.n.01 PartOf +1 river.n.01 Name ""Thames"""	"person.n.01 EQU speaker house.n.01 User -1 be.v.03 Theme -1 Time +1 Location +4 time.n.08 EQU now south.a.01 CORRECTION <1 ascent.n.01 ThemeOf -1 CONJUNCTION <2 % in fact bank.n.01 PartOf +1 ThemeOf -2 river.n.01 Name ""Thames"""	n	ascent.n.01	bank.n.01	ascent	in fact	inplace	retarget_to_repair|d2_invert_role|d1_drop_role	PartOf	4	0	1
p27/d1903	I owe ten dollars to her.	I loiter, I mean to say, owe ten dollars to her.	person.n.01 EQU speaker owe.v.03 Agent -1 Time +1 Theme +3 Beneficiary +4 time.n.08 EQU now quantity.n.01 EQU 10 dollar.n.01 Quantity -1 female.n.02	person.n.01 EQU speaker CORRECTION <1 loiter.v.01 Agent -1 CONJUNCTION <2 % I mean to say owe.v.03 Agent -2 Time +1 Theme +3 Beneficiary +4 time.n.08 EQU now quantity.n.01 EQU 10 dollar.n.01 Quantity -1 female.n.02	v	loiter.v.01	owe.v.03	loiter	I mean to say	inplace	d1_drop_role	Time|Theme|Beneficiary	4	0	1
p27/d1903	I owe ten dollars to her.	I owe ten euroes, dollars to her.	person.n.01 EQU speaker owe.v.03 Agent -1 Time +1 Theme +3 Beneficiary +4 time.n.08 EQU now quantity.n.01 EQU 10 dollar.n.01 Quantity -1 female.n.02	person.n.01 EQU speaker owe.v.03 Agent -1 Time +1 Beneficiary +5 time.n.08 EQU now quantity.n.01 EQU 10 CORRECTION <1 euro.n.01 Quantity -1 ThemeOf -3 CONJUNCTION <2 dollar.n.01 Quantity -2 ThemeOf -4 female.n.02	n	euro.n.01	dollar.n.01	euroes		inplace	d2_invert_role		5	0	1
p57/d2339	The peace treaty will be signed tomorrow.	The convention, I mean, The peace treaty will be signed tomorrow.	peace_treaty.n.01 time.n.08 TSU now sign.v.02 Theme -2 Time -1 Time +1 time.n.08 TIN +2 day.n.03 TCT now TAB +1 day.n.03	entity.n.01 CORRECTION <1 convention.n.03 EQU -1 CONJUNCTION <2 % I mean peace_treaty.n.01 EQU -2 time.n.08 TSU now sign.v.02 Theme -4 Time -1 Time +1 time.n.08 TIN +2 day.n.03 TCT now TAB +1 day.n.03	n	convention.n.03	peace_treaty.n.01	convention	I mean	anchor	d5_anchor_dummy		4	0	1
p57/d2339	The peace treaty will be signed tomorrow.	The peace treaty will be co-signed, signed tomorrow.	peace_treaty.n.01 time.n.08 TSU now sign.v.02 Theme -2 Time -1 Time +1 time.n.08 TIN +2 day.n.03 TCT now TAB +1 day.n.03	peace_treaty.n.01 time.n.08 TSU now CORRECTION <1 co-sign.v.01 Theme -2 Time -1 CONJUNCTION <2 sign.v.02 Theme -3 Time -2 Time +1 time.n.08 TIN +2 day.n.03 TCT now TAB +1 day.n.03	v	co-sign.v.01	sign.v.02	co-signed		inplace	d1_drop_role	Time	3	0	1
p18/d1865	She is rather poor at tennis.	She is rather rich, poor at tennis.	female.n.02 time.n.08 EQU now rather.r.02 poor.a.04 AttributeOf -3 Time -2 Degree -1 Theme +1 tennis.n.01	female.n.02 time.n.08 EQU now rather.r.02 CORRECTION <1 rich.a.02 AttributeOf -3 Time -2 Degree -1 CONJUNCTION <2 poor.a.04 AttributeOf -4 Time -3 Degree -2 Theme +1 tennis.n.01	a	rich.a.02	poor.a.04	rich		inplace	d1_drop_role	Theme	4	0	1
p18/d1865	She is rather poor at tennis.	She is rather poor at basketball, sorry, at tennis.	female.n.02 time.n.08 EQU now rather.r.02 poor.a.04 AttributeOf -3 Time -2 Degree -1 Theme +1 tennis.n.01	female.n.02 time.n.08 EQU now rather.r.02 poor.a.04 AttributeOf -3 Time -2 Degree -1 CORRECTION <1 basketball.n.01 ThemeOf -1 CONJUNCTION <2 % sorry tennis.n.01 ThemeOf -2	n	basketball.n.01	tennis.n.01	basketball	sorry	inplace	d2_invert_role		3	0	1
p10/d2103	I am intelligent.	I am precocious, am intelligent.	person.n.01 EQU speaker time.n.08 EQU now intelligent.a.01 AttributeOf -2 Time -1	person.n.01 EQU speaker time.n.08 EQU now CORRECTION <1 precocious.a.01 AttributeOf -2 Time -1 CONJUNCTION <2 intelligent.a.01 AttributeOf -3 Time -2	a	precocious.a.01	intelligent.a.01	precocious		inplace			3	0	1
p48/d3446	Tom's a grouch.	Tom's a rotter, I mean to say, a grouch.	"male.n.02 Name ""Tom"" be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 grouch.n.01"	"male.n.02 Name ""Tom"" be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 entity.n.01 CORRECTION <1 rotter.n.01 EQU -1 CONJUNCTION <2 % I mean to say grouch.n.01 EQU -2"	n	rotter.n.01	grouch.n.01	rotter	I mean to say	anchor	d5_anchor_dummy		2	0	1
p07/d0903	I ran into your brother on the street.	I met, that is, ran into your brother on the street.	person.n.01 EQU speaker run_into.v.04 Agent -1 Time +1 Co-Agent +3 Location +5 time.n.08 TPR now person.n.01 EQU hearer person.n.01 Role +1 brother.n.01 Of -2 street.n.01	person.n.01 EQU speaker CORRECTION <1 meet.v.07 Agent -1 CONJUNCTION <2 % that is run_into.v.04 Agent -2 Time +1 Co-Agent +3 Location +5 time.n.08 TPR now person.n.01 EQU hearer person.n.01 Role +1 brother.n.01 Of -2 street.n.01	v	meet.v.07	run_into.v.04	met	that is	inplace	d1_drop_role	Time|Co-Agent|Location	5	0	1
