item_id	synonymy	contradiction	neutral	repair_pos	repair_synset	reparandum_synset	doc_id	concept_pos
i036	0.7559	0.1752	0.0137	v	spread.v.09	sew.v.01	p17/d2614	1
i037	0.2211	0.7329	0.0323	n	scarf.n.01	camlet.n.01	p50/d3289	2
i038	0.98	0.0062	0.0055	n	prisoner.n.01	languisher.n.01	p80/d2047	7
i039	0.1464	0.0045	0.7871	a	sour.a.02	unpalatable.a.01	p59/d2044	6
i040	0.5581	0.2502	0.1917	v	pay.v.01	provide.v.02	p94/d2497	1
i041	0.0058	0.8193	0.1747	n	political_leader.n.01	imam.n.01	p24/d1745	5
i042	0.4197	0.5112	0.0325	v	coo.v.02	meow.v.01	p98/d1819	2
i043	0.1185	0.0133	0.0952	v	prosper.v.01	become.v.01	p09/d2467	2
i044	0.6313	0.2876	0.0253	n	tiger.n.02	liger.n.01	p36/d1982	0
i045	0.9902	0.0006	0.0083	n	lie.n.01	misrepresentation.n.01	p49/d1911	3
i046	0.8428	0.0042	0.0269	n	artery.n.01	vasa_vasorum.n.01	p10/d2978	3
i047	0.2559	0.6426	0.1017	n	ceremony.n.01	party.n.04	p99/d2202	4
i048	0.5776	0.0105	0.0173	v	go.v.01	rise.v.01	p23/d0785	2
i049	0.9878	0.0013	0.0048	v	erase.v.03	obviate.v.01	p23/d1975	1
i050	0.0322	0.9165	0.0514	n	psychiatrist.n.01	gerontologist.n.01	p08/d1413	4
i051	0.1652	0.0734	0.0518	n	merchandise.n.01	entrant.n.01	p63/d2574	0
i052	0.4177	0.0384	0.4429	v	bow_down.v.02	slump.v.01	p39/d2939	2
i053	0.9443	0.0076	0.0321	v	wrinkle.v.03	crane.v.01	p10/d0848	1
i054	0.1134	0.0067	0.0116	n	ammunition.n.01	armament.n.01	p82/d2239	3
i055	0.1882	0.6792	0.1326	v	sign.v.01	score.v.02	p53/d2310	2
i056	0.3508	0.6162	0.0329	n	tomcat.n.01	mouser.n.01	p44/d1979	3
i057	0.3921	0.1804	0.0492	v	read.v.05	forecast.v.01	p45/d1488	4
i058	0.2352	0.0093	0.0994	a	salty.a.02	savory.a.01	p39/d1758	2
i059	0.8472	0.006	0.0028	v	get.v.09	ace.v.02	p85/d3054	1
i060	0.356	0.5151	0.0667	v	yoke.v.02	sew.v.01	p18/d1452	1
i061	0.4087	0.0041	0.0068	v	run.v.06	mature.v.01	p89/d3249	1
i062	0.3027	0.2866	0.0897	v	fake.v.02	crib.v.01	p42/d3187	1
i063	0.9707	0.0035	0.0171	v	turn_over.v.01	gather.v.01	p17/d2120	7
i064	0.0002	0.998	0.0016	n	biscuit.n.02	victoria_sandwich.n.01	p34/d3553	3
i065	0.6611	0.0896	0.0344	v	step_up.v.01	harmonize.v.01	p72/d1078	2
i066	0.0049	0.9893	0.0057	n	triceps.n.01	intercostal.n.01	p37/d2699	3
i067	0.5503	0.022	0.0091	v	be.v.04	brood.v.02	p40/d2942	1
i068	0.3071	0.1971	0.0805	v	hang.v.01	balance.v.01	p13/d1949	2
i069	0.9546	0.009	0.0084	n	attack.n.01	campaign.n.03	p41/d3531	5
i070	0.3228	0.0088	0.0689	v	accord.v.01	calm.v.01	p33/d3510	2
i071	0.8945	0.0197	0.0747	v	jump.v.01	flit.v.01	p12/d2094	2
i072	0.7397	0.0121	0.0194	v	become.v.02	transform.v.03	p96/d2961	4
i073	0.5854	0.3408	0.0543	v	pass.v.20	knock.v.01	p35/d1460	1
i074	0.8555	0.0175	0.0368	n	roar.n.02	clamor.n.02	p50/d1688	2
i075	0.5659	0.0397	0.1271	n	chatterbox.n.02	stentor.n.01	p77/d2562	4
i076	0.4282	0.0695	0.0099	n	loss.n.06	figure.n.07	p09/d2392	0
i077	0.9648	0.0222	0.0109	v	strum.v.01	ting.v.01	p33/d1721	5
i078	0.895	0.0126	0.0111	v	seem.v.01	subtend.v.01	p00/d1853	1
i079	0.1912	0.7383	0.0706	n	wave.n.01	jitter.n.02	p20/d0845	5
i080	0.365	0.0171	0.0336	n	action.n.01	communication.n.01	p62/d1705	6
i081	0.9746	0.0029	0.0118	n	chest.n.01	organ.n.01	p17/d3445	5
i082	0.1633	0.709	0.0704	n	torch.n.01	strip_lighting.n.01	p44/d1769	4
i083	0.7197	0.1887	0.0916	v	star.v.02	usher.v.01	p98/d1380	1
i084	0.9741	0.0104	0.014	n	company.n.01	issuer.n.01	p33/d1182	1
i085	0.856	0.0268	0.0681	v	break_loose.v.02	arrive.v.01	p89/d1329	1
i086	0.644	0.09	0.0192	n	mountain_range.n.01	massif.n.01	p95/d1491	4
i087	0.1541	0.2964	0.1852	n	computer_system.n.01	network.n.05	p17/d0796	0
i088	0.561	0.0202	0.0146	v	draw.v.09	pilfer.v.01	p90/d1807	1
i089	0.2256	0.5498	0.2245	v	slip.v.11	blacken.v.01	p34/d1702	1
i090	0.7202	0.0037	0.0085	n	prison.n.01	reformatory.n.01	p06/d1751	3
i091	0.0023	0.0123	0.0504	n	newspaper.n.03	work.n.02	p29/d2905	1
i092	0.0034	0.0085	0.0235	v	make.v.07	crayon.v.01	p54/d1499	1
i093	0.6836	0.0371	0.0133	v	draw.v.09	reap.v.01	p90/d1807	1
i094	0.561	0.06	0.0232	n	armed_forces.n.01	rank_and_file.n.01	p10/d0713	3
i095	0.5039	0.0061	0.3647	a	intelligent.a.01	perceptive.a.01	p10/d2103	2
i096	0.4421	0.3513	0.2065	n	answer.n.02	comment.n.02	p02/d2428	3
i097	0.0338	0.3533	0.0144	n	piece.n.01	upstairs.n.01	p09/d2685	5
i098	0.2847	0.0092	0.0096	a	bad.a.07	nasty.a.01	p38/d0932	3
i099	0.0107	0.8154	0.174	n	sex.n.01	perspiration.n.02	p87/d1443	4
i100	0.8027	0.0057	0.0408	v	let_up.v.01	tidy.v.01	p82/d2987	1
i101	0.251	0.729	0.0202	v	chase_away.v.01	pull.v.01	p34/d3080	1
i102	0.6123	0.356	0.0318	v	amputate.v.01	scoop.v.01	p82/d1991	2
i103	0.9893	0.0023	0.0033	n	cup.n.02	mug.n.01	p49/d1895	4
i104	0.7314	0.1575	0.0967	v	play.v.05	visit.v.04	p90/d2068	9
i105	0.9624	0.0015	0.0089	v	heal.v.03	free.v.01	p26/d3340	6
i106	0.8101	0.0097	0.1426	v	twist.v.10	maim.v.01	p76/d0904	1
i107	0.2489	0.0725	0.033	n	cross.n.01	housing.n.01	p78/d2300	4
i108	0.2214	0.015	0.0271	v	answer.v.01	explain.v.02	p06/d2364	1
i109	0.0013	0.9961	0.0025	v	howl.v.02	clatter.v.01	p29/d3377	1
i110	0.7109	0.1714	0.007	v	light.v.01	rush.v.01	p67/d3189	2
i111	0.4915	0.4407	0.068	v	bale.v.01	catch.v.25	p66/d2503	2
i112	0.8394	0.011	0.0442	v	stamp.v.01	rush.v.01	p65/d2400	1
i113	0.4861	0.4629	0.0266	n	coup.n.01	disbandment.n.01	p49/d2530	0
i114	0.15	0.7544	0.0958	v	demand.v.01	encore.v.01	p10/d3505	1
i115	0.4878	0.0018	0.0086	a	bad.a.04	corrupt.a.01	p51/d1726	3
i116	0.7925	0.0458	0.0829	n	fingerprint.n.01	signature_recognition.n.01	p00/d1691	5
i117	0.7114	0.0107	0.0916	v	bore.v.01	depress.v.01	p03/d1600	2
i118	0.981	0.0028	0.0111	n	surface.n.01	commodity.n.01	p22/d2584	1
i119	0.3464	0.0246	0.0171	n	artery.n.01	vein.n.01	p10/d2978	3
i120	0.1442	0.4785	0.0069	v	admit.v.01	beatify.v.03	p12/d2239	1
i121	0.6064	0.0478	0.0674	a	sensitive.a.03	wise.a.01	p01/d2906	2
i122	0.4993	0.4392	0.0614	n	cousin.n.01	enate.n.01	p05/d2979	5
i123	0.6748	0.0281	0.008	v	get_around.v.01	supervene.v.01	p30/d2864	1
i124	0.7183	0.0209	0.2568	v	break_down.v.03	footle.v.02	p01/d1096	1
i125	0.4558	0.4902	0.013	v	throw_out.v.01	extradite.v.01	p06/d2737	6
i126	0.8638	0.0748	0.0042	n	duck.n.01	goose.n.01	p68/d2789	0
i127	0.1105	0.1714	0.3799	v	rise.v.01	lean.v.01	p27/d2009	2
i128	0.0002	0.9995	0.0003	v	despise.v.01	respect.v.01	p80/d1929	1
i129	0.1532	0.0389	0.2388	a	familiar.a.01	competent.a.01	p25/d2419	2
i130	0.1818	0.4675	0.1229	n	country.n.04	environment.n.02	p13/d2713	3
i131	0.7061	0.0379	0.0181	v	come.v.01	descend.v.01	p62/d2973	3
i132	0.6113	0.1936	0.0108	v	find.v.02	greet.v.01	p80/d2047	2
i133	0.7559	0.0038	0.0087	n	forest.n.01	growth.n.04	p07/d1209	1
i134	0.5845	0.3376	0.0619	v	load.v.04	string.v.01	p06/d1881	1
i135	0.3401	0.2791	0.014	v	paint.v.02	copper.v.01	p77/d1579	1
i136	0.2178	0.0381	0.3115	n	hard_drug.n.01	recreational_drug.n.01	p91/d1389	4
i137	0.6812	0.095	0.013	v	light.v.01	fatten.v.01	p67/d3189	2
i138	0.5864	0.2869	0.127	v	let_up.v.02	occidentalize.v.01	p60/d3387	2
i139	0.3145	0.075	0.4199	v	thank.v.01	honor.v.01	p19/d2253	2
i140	0.2915	0.6255	0.0827	v	hike.v.02	scurry.v.01	p19/d2331	1
i141	0.5356	0.0466	0.0878	a	unsettled.a.01	unsympathetic.a.01	p58/d2950	2
i142	0.0379	0.6191	0.2544	v	show.v.01	explain.v.01	p04/d3108	1
i143	0.7437	0.0963	0.0227	v	abate.v.01	crumble.v.01	p21/d0851	1
i144	0.8042	0.0577	0.0326	v	resemble.v.01	corroborate.v.03	p32/d3471	3
i145	0.0002	0.9995	0.0003	v	love.v.03	hate.v.01	p00/d1487	1
i146	0.6958	0.1183	0.1859	v	dig.v.08	solve.v.01	p57/d2961	2
i147	0.3604	0.0213	0.03	n	wife.n.01	monogamist.n.01	p39/d2776	2
i148	0.5596	0.416	0.0172	n	cardinal.n.01	eparch.n.01	p21/d2001	1
i149	0.8101	0.0846	0.0555	n	gown.n.01	dirndl.n.02	p12/d2605	0
i150	0.3621	0.1009	0.0225	v	wrap.v.02	float.v.01	p05/d2617	1
