item_id	A_original	B_substituted	word_in_A	word_in_B	same_meaning	fits_sentence	notes	provenance
i059	I got an A on my essay.	I aced an A on my essay.	get	aced	no	no	Tautology 	original
i060	Yoke the oxen to the plow.	Sew the oxen to the plow.	yoke	sew	no	no	category mismatch -- physical imcompatability. 	original
i061	This river runs into Lake Ontario.	This river matures into Lake Ontario.	run	matures	no	no	Verb-object mismatch	original
i062	Tom faked his death.	Tom cribbed his death.	fake	cribbed	no	no	verb-object mismatch. Crible must have a narrow column of expressions such as essay, idea, or answer. 	original
i063	Some brave passengers caught the pickpocket and turned him over to the police.	Some brave passengers caught the pickpocket and gathered him to the police.	turn over	gathered	no	no	In this context, i believe the pickpocket should be in one piece and alive. So they cannot be gathered. 	rejudged
i064	She crumbled a biscuit.	She crumbled a victoria sandwich.	biscuit	victoria sandwich	no	yes	It makes sense to make a cake into small crumbles 	original
i065	Deutsche Telekom is stepping up its presence in China.	Deutsche Telekom is harmonizing its presence in China.	step up	harmonizing	no	yes	It sounds like DT does a re-org to its branches in China. 	rejudged
i066	I pulled a triceps.	I pulled a intercostal.	triceps	intercostal	no	yes (with a flow)	a -> an before a vowel is not applied yet 	original
i067	There's a famous book in English whose entire last chapter is a single sentence.	Therebroods a famous book in English whose entire last chapter is a single sentence.	be	broods	no 	no	"Another issue that emerged. We maybe need to be super cautious with expressions like ""there be"" and ""it is that""...Also, a book cannot brood. "	original
i068	The hat's hanging on the rack.	The hat's balancing on the rack.	hang	balancing	no	yes	Poetic and makes sense. 	original
i069	The soldiers resisted the enemy attack.	The soldiers resisted the enemy campaign.	attack	campaign	no	yes (RISKY!)	we need to check if campaingn and attach share the same synset.	original
i070	His ideas accord with theirs.	His ideas calm with theirs.	accord	calm	no	no	A abstract idea cannot calm 	original
i071	Let's jump into the water.	Let's flit into the water.	jump	flit	no	yes	image it's a water bird flits into water to catch a fish	original
i072	Everyone who worked on that project became a millionaire.	Everyone who worked on that project transformed a millionaire.	become	transformed	no	no	It's a grammar issue. Transforms, when used as a transitive verb, needs to connect the receiver, and use an into to show the results	original
i073	Tom passed the ball to Mary.	Tom knocked the ball to Mary.	pass	knocked	no	yes	This makes sense in the ball activity 	original
i074	The lion roars.	The lion clamors.	roar	clamors	no	no	Clamor requires the subject to be both collective and humanised. 	original
i075	She is a chatterbox.	She is a stentor.	chatterbox	stentor	no	yes	A typical calssical assusion. She has a bright and loud voice. 	original
i076	The loss reached three million yen.	The figure reached three million yen.	loss	figure	no	yes	This is a typical financal expression	original
i077	Tom sat under a tree, strumming his ukulele.	Tom sat under a tree, tinging his ukulele.	strum	tinging	no	no	if the tinging is ting, then a ukulele should be strumed (original sentence), only bells or cans with small rocks inside can ting; if it is tinge, then this context does not support Tom dying his ukulele with a colour -- I might be wrong. This needs double check. 	original
i078	Tom seems conceited.	Tom subtends conceited.	seem	subtends	no	no	This sentence is gebrish 	original
i079	They weren't warned of the tidal wave.	They weren't warned of the tidal jitter.	wave	jitter	no	yes	The jitter can refer to a scientific observation -- the reading is spiking, in a high frequency	original
i080	He resented his friend's action.	He resented his friend's communication.	action	communication	no	yes	a person can resent to a more abstract thing like communication. 	original
i081	The boy clasped the puppy to his chest.	The boy clasped the puppy to his organ.	chest	organ	no	yes	clasp requires items to touch each other. But organ should be internal. Or this is a very horiffing scienario. 	original
i082	Tom extinguished his torch.	Tom extinguished his strip lighting.	torch	strip lighting	no	no	a modern strip lighting cannot be extinguihshed, it is for something that ignets 	original
i083	"Who starred in ""The Poseidon Adventure""?"	"Who usherred in ""The Poseidon Adventure""?"	star	usherred	no	yes	"""usher in"" as a phrase can express something/someone starts a new type/era of style and genre"	original
i084	In 1960, the company added polyacrylonitrile staple fibers to its range.	In 1960, the issuer added polyacrylonitrile staple fibers to its range.	company	issuer	no	yes	It reads professional 	original
i085	"Gregor's broken loose."""	"Gregor's arrived."""	break loose	arrived	no	yes	Gregor has arrived -- makes sense 	rejudged
i086	Italy has two mountain ranges, the Alps and the Apennines.	Italy has two massifs, the Alps and the Apennines.	mountain range	massifs	no	no (low confidence)	It might be me being dramatic. But the two proper nouns in this sample are plural. So, they strongly indicate mountain ranges. But massif means a single, discontinue, usually cliffy mountain. So, are they contradicted? 	rejudged
i087	The computer system shuts down automatically at 8pm.	The network shuts down automatically at 8pm.	computer system	network	no	yes	It's a typical IT description	rejudged
i088	Tom drew the shortest straw.	Tom pilfered the shortest straw.	draw	pilfered	no	yes	a straw is usually cheap, it suits pitfer well	original
i089	I slipped and twisted my ankle.	I blackened and twisted my ankle.	slip	blackened	no	yes	a twisted ankle can be blackened due to inner bleeding. 	original
i090	He escaped from prison.	He escaped from reformatory.	prison	reformatory	no	yes	The zero article format is fine when it comes to prison/reformatory/school	original
i091	"""Whose newspapers are these?"" ""They are my father's."""	"""Whose works are these?"" ""They are my father's."""	newspaper	works	no	yes	It makes perfect sense 	original
i092	I made a decision.	I crayoned a decision.	make	crayoned	no	no	a decision is a mental, abstract concenpt. It cannot be crayoned as a concrete product. 	original
i093	Tom drew the shortest straw.	Tom reaped the shortest straw.	draw	reaped	no	no	"1. to draw the shortest straw is a fixed expression. A more famous but similar case in linguistics is ""to kick the bucket"". 2. Even if we understand it literaly, it is odd to reap one single straw -- I am not certain here "	original
i094	Baena Soares was arrested by the armed forces.	Baena Soares was arrested by the ranks and file.	armed forces	ranks and file	no	yes	Rank and file is a fixed expression. So, it is not perfect but works fine. 	rejudged
i095	I am intelligent.	I am perceptive.	intelligent	perceptive	no (RISKY)	yes 	It needs a double check in WordNet to see if they share the same synset. 	original
i096	Tom knew the answer.	Tom knew the comment.	answer	comment	no	yes 	It makes sense to me 	original
i097	Tom cut the pie into six pieces.	Tom cut the pie into six upstairses.	piece	upstairses	no	no	you cannot cut something into upstaires 	original
i098	She is pretty bad at tennis.	She is pretty nasty at tennis.	bad	nasty	no	yes 	It looks perfectly fine to me 	original
i099	I love anal sex.	I love anal perspiration.	sex	perspiration	no	yes 	It's a personal preference 	original
i100	The rain has let up.	The rain has tidied.	let up	tidied	no	no	The rain has no intention to tide things up. And there misses an objective. 	rejudged
i101	A cow chases away flies with its tail.	A cow pulls flies with its tail.	chase away	pulls	no	no	"Let's assume the cow is the spiece that we are familiar with. Then, a tail cannot pull. I would say it's a ""drink a chair"" type mismatch."	rejudged
i102	The surgeon amputated the wrong leg.	The surgeon scooped the wrong leg.	amputate	scooped	no	no	You can scoop from a leg, but you cannot scoop the whole leg. Its physical feature makes it unmached	original
i103	I drink two cups of coffee.	I drink two mugs of coffee.	cup	mugs	no (RISKY!)	yes	we need to check if cup and mug are in the same synset 	original
i104	Pochi and Moko are in the kennel, and other dogs are playing in the garden.	Pochi and Moko are in the kennel, and other dogs are visitting in the garden.	play	visitting	no	yes	visit can be used as an intransitive verb, meaning a casual meeting up	original
i105	If you take this medicine, the stomach ache will be healed.	If you take this medicine, the stomach ache will be freed.	heal	freed	no	no	Ontological ummatch	original
i106	I twisted my ankle.	I maimed my ankle.	twist	maimed	no	yes	It makes perfect sense 	original
i107	I see the golden cross.	I see the golden housing.	cross	housing	no	yes	It makes sense to me, like there is an item where its outter layer is golden. 	original
i108	She answers us whenever we ask her a question.	She explains us whenever we ask her a question.	answer	explains	no	no	grammatical issue. The syntax of explain is not right 	original
i109	The jackal howls.	The jackal clatters.	howl	clatters	no	no	Clatter cannot be used to describe a sound made by soft tissues of a jackal. 	original
i110	The room was lit by candles.	The room was rushed by candles.	light	rushed	no	no	A candle cannot move things 	original
i111	He's baling the hay.	He's catching the hay.	bale	catching	no	yes	This makes sense tome 	original
i112	She stamped the mud off her shoes.	She rushed the mud off her shoes.	stamp	rushed	no	no	The verb rush does not fit the frame 	original
i113	The coup was meticulously executed.	The disbandment was meticulously executed.	coup	disbandment	no	yes	This makes perfect sense 	original
i114	I demand a refund.	I encore a refund.	demand	encore	no	no	encore is locked in state/performance-related expressions. It does not match with a refund. 	original
i115	Some of these apples are bad.	Some of these apples are corrupt.	bad	corrupt	no (VERY RISKY!!)	yes	we need to check this. Especially, both no and corrupt make the same meaning in this sentence -- more or less. 	original
i116	Tom carefully wiped his fingerprints off the knife.	Tom carefully wiped his signature recognitions off the knife.	fingerprint	signature recognitions	no	no	SR should be something digital and abstract like an algorithm. It can't be physically wiped. 	rejudged
i117	His speech bored me.	His speech depressed me.	bore	depressed	no	yes	This makes sense to me 	original
i118	This table's surface is smooth.	This table's commodity is smooth.	surface	commodity	no	no	category mismatch 	original
i120	She admits that she stole the jewels.	She beatifies that she stole the jewels.	admit	beatifies	no	no	beatify can only use a noun as the object. 	original
i121	A dog is sensitive to smell.	A dog is wise to smell.	sensitive	wise	no	no	wise denotes the sophisticated thinking. But sniffing is more about instict. 	original
i122	Tom kissed his cousin.	Tom kissed his enate.	cousin	enate	no (RISKY!!)	yes	the two words can largely overlap. We need to double check in WordNet. 	original
i123	That news got around.	That news supervened.	get around	supervened	no	yes 	Sunds overtly formal but can't find a reason to say no. 	rejudged
i124	He broke down all at once.	He footled all at once.	break down	footled	no	yes	It's like someone startes to do stupid things all of a sudden. So I'd say it's fair. 	rejudged
i125	I farted in class and the teacher threw me out.	I farted in class and the teacher extradited me.	throw out	extradited	no	no	Frame mismatch. 	rejudged
i126	The duck quacks.	The goose quacks.	duck	goose	no	no	Quack is for ducks only. Geese should use horn, cackle, or hiss. 	original
i127	The sun is rising above the horizon.	The sun is leaning above the horizon.	rise	leaning	no	no	If something can lean, then it cannot be above something else. 	original
i128	Tom despises lies.	Tom respects lies.	despise	respects	no	yes	Totally makes sense. 	original
i129	The tale is familiar to us.	The tale is competent to us.	familiar	competent	no	no	category mismatch. A tale cannot be competent. 	original
i130	She wandered about the country.	She wandered about the environment.	country	environment	no	yes	"even though the word ""environment""is super big, it still fits the proposition. "	original
i131	Hurricane Sandy is coming.	Hurricane Sandy is descending.	come	descending	no	yes	descending fits the clamte topic.	original
i132	The guards found a hacksaw blade in the prisoner's pocket.	The guards greeted a hacksaw blade in the prisoner's pocket.	find	greeted	no	no	the theme of to greet has to be human or humanised. 	original
i133	Dense forests cover the Carpathians.	Dense growths cover the Carpathians.	forest	growths	no (RISKY)	yes 	It works because growth, just like forest, can denote to thick plants. 	original
i134	Tom loaded the bags into the trunk of his car.	Tom strung the bags into the trunk of his car.	load	strung	no	no	The strajectory of the item being strung has to be linear. So, bags cannot do that in the physicl sense. 	original
i135	Tom painted his room white.	Tom coppered his room white.	paint	coppered	no	no	the colour and the verb do not match. 	original
i136	How many people in the Netherlands are addicted to hard drugs?	How many people in the Netherlands are addicted to recreational drugs?	hard drug	recreational drugs	no	yes	It's so typical. It makes perfect sense. 	rejudged
i137	The room was lit by candles.	The room was fattened by candles.	light	fattened	no	no	A room cannot get fattended, nor can a candle do this to anything. 	original
i138	She does not let up.	She does not occidentalize.	let up	occidentalize	no	no	Makes sense -  a person can reject a culture. 	rejudged
i139	Thanks Mom.	Honors Mom.	thank	honors	no	no	It requires a subject. 	original
i140	We hiked through a beautiful green valley.	We scurried through a beautiful green valley.	hike	scurried	no	yes	a bunch of people walked through a valley in hurry - makes sense. 	original
i141	I am unsettled about the news.	I am unsympathetic about the news.	unsettled	unsympathetic	no	yes	It makes sense. A person can be indifferent to the news. 	original
i142	He showed it to me.	He explained it to me.	show	explained	no	yes	Meets the grammatical and semantic expectation of the word explain. 	original
i143	The wind has abated.	The wind has crumbled.	abate	crumbled	no	no	The air cannot be crumbled	original
i144	Its long neck resembles that of a horse.	Its long neck corroborates that of a horse.	resemble	corroborates	no	no	The theme of the verb corroborate needs to be abstract, such as a theory, a hypothesis, or a statement. 	original
i145	She loved Tom.	She hated Tom.	love	hated	no	yes	It makes perfect sense 	original
i146	I don't dig modern jazz.	I don't solve modern jazz.	dig	solve	no	no	a musical genre cannot be solved. 	original
i147	My wife is Swedish.	My monogamist is Swedish.	wife	monogamist	no	yes	It makes sense in a specific context. Such as a seminar discussing marriage system. 	original
i148	The cardinals have elected a new pope.	The eparches have elected a new pope.	cardinal	eparches	no	yes 	It is even real that Oriental Orthodoxy eparches vote for the next pope	original
i149	The gown is made of silk.	The dirndl is made of silk.	gown	dirndl	no	yes	It is true that dirndls are usually made of silk 	original
i150	He wrapped his arms around me.	He floated his arms around me.	wrap	floated	no	yes	If that is in a pool, then it makes sense??? -- require double check.	original
i151	She pouted when she was told to wash the dishes.	She pouted when she was told to dress the dishes.	wash	dress	no	yes	Makes sense. Dressing the dishes is a common thing in high-end places, so it's toally doable. 	replacement
